"0","1","2","3"
"7-day 
Cases in 
Total 
Number 
Number of 
Cases/ 
incidence 
Number 
the last 
Federal State 
number 
of new 
deaths/ 
per 100,000 
of deaths 
100,000 pop. 
of cases 
cases 
100,000 pop. 
7 days 
pop.","","",""
"Baden-Wuerttemberg","43,259 
334 
391","1,451 
13.1","1,865 
16.8"
"Bavaria","58,692 
307 
449","1,573 
12.0","2,641 
20.2"
"Berlin","11.623 
94 
310","448 
12.0","226 
6.0"
"Brandenburg","3,923 
21 
156","46 
1.8","169 
6.7"
"Bremen","2,056 
8 
301","79 
11.6","58 
8.5"
"Hamburg","6.451 
55 
350","210 
11.4","267 
14.5"
"Hesse","15,978 
66 
255","590 
9.4","535 
8.5"
"Mecklenburg-Western  
Pomerania","1,023 
4 
64","17 
1.1","20 
1.2"
"Lower Saxony","17,210 
77 
216","498 
6.2","665 
8.3"
"North Rhine-Westphalia","60,085 
274 
335","1,560 
8.7","1,823 
10.2"
"Rhineland-Palatinate","9,305 
45 
228","299 
7.3","243 
5.9"
"Saarland","3,189 
13 
322","54 
5,5","174 
17.6"
"Saxony","6,138 
43 
151","179 
4.4","225 
5.5"
"Saxony-Anhalt","2,274 
11 
103","40 
1.8","66 
3.0"
"Schleswig-Holstein","4,115 
8 
142","79 
3.3","161 
5.6"
"Thuringia","3.676 
18 
172","55 
2.6","186 
8.7"
"Total 
248,997 
1,378 
300 
7,196 
8.7 
9,324 
11.2","","",""
