"0","1","2","3"
"Cumulative cases  
Last 7 days 
Cumulative deaths","","",""
"7-day 
Cases/ 
Cases in 
Number of 
Total number 
Number of 
incidence/ 
Number of 
Federal State 
100,000 
the last 
deaths/ 
of cases 
new cases 
100,000 
deaths 
pop. 
7 days 
100,000 pop. 
pop.","","",""
"Baden-Wuerttemberg","308,077 
911 
2,775","4,609 
42","7,856 
70.8"
"Bavaria","424,534 
1,721 
3,235","7,257 
55","11,945 
91.0"
"Berlin","125,726 
452 
3,426","1,759 
48","2,670 
72.8"
"Brandenburg","74,065 
392 
2,937","1,702 
67","2,874 
114.0"
"Bremen","17,170 
97 
2,521","448 
66","317 
46.5"
"Hamburg","49,553 
234 
2,683","1,114 
60","1,206 
65.3"
"Hesse","182,385 
862 
2,900","3,467 
55","5,598 
89.0"
"Mecklenburg- 
Western Pomerania","22,822 
197 
1,419","1,034 
64","664 
41.3"
"Lower Saxony","155,840 
940 
1,950","4,844 
61","3,977 
49.8"
"North Rhine-Westphalia","514,947 
2,068 
2,869","10,246 
57","12,424 
69.2"
"Rhineland-Palatinate","98,759 
368 
2,412","1,866 
46","2,945 
71.9"
"Saarland","27,850 
127 
2,822","574 
58","835 
84.6"
"Saxony","188,956 
702 
4,640","2,694 
66","7,294 
179.1"
"Saxony-Anhalt","57,479 
394 
2,619","1,840 
84","2,221 
101.2"
"Schleswig-Holstein","40,273 
232 
1,387","1,521 
52","1,190 
41.0"
"Thuringia","72,170 
510 
3,383","2,550 
120","2,682 
125.7"
"Total","2,360,606 
10,207 
2,838","47,525 
57","66,698 
80.2"
