"0","1"
"Cumulative cases  
Last 7 days 
Cumulative deaths",""
"7-day 
Number 
Cases/ 
Cases in 
incidence 
Number 
Number of 
Total number of 
Federal State 
of new 
100,000 
the last 
per 
of 
deaths/ 
cases 
cases* 
pop. 
7 days 
100,000 
deaths 
100,000 pop. 
pop.",""
"Baden-Wuerttemberg","243,914 
1,170 
2,197 
14,266 
129 
4,925 
44.4"
"Bavaria","332,619 
1,764 
2,534 
20,621 
157 
6,868 
52.3"
"Berlin","98,097 
460 
2,673 
4,443 
121 
1,285 
35.0"
"Brandenburg","42,713 
329 
1,694 
4,462 
177 
993 
39.4"
"Bremen","13,713 
10 
2,013 
556 
82 
202 
29.7"
"Hamburg","37,535 
242 
2,032 
2,180 
118 
661 
35.8"
"Hesse","139,965 
597 
2,226 
8,437 
134 
2,962 
47.1"
"Mecklenburg- 
Western Pomerania","12,454 
92 
774 
1,459 
91 
177 
11.0"
"Lower Saxony","110,271 
461 
1,379 
7,114 
89 
2,028 
25.4"
"North Rhine-Westphalia","400,594 
1,916 
2,232 
22,030 
123 
6,751 
37.6"
"Rhineland-Palatinate","73,915 
370 
1,805 
4,822 
118 
1,466 
35.8"
"Saarland","20,141 
30 
2,041 
895 
91 
441 
44.7"
"Saxony","138,332 
1,301 
3,397 
13,425 
330 
3,353 
82.3"
"Saxony-Anhalt","31,497 
789 
1,435 
3,826 
174 
687 
31.3"
"Schleswig-Holstein","25,540 
293 
880 
2,248 
77 
443 
15.3"
"Thuringia","44,366 
491 
2,080 
5,310 
249 
1,030 
48.3"
"Total","1,765,666 
10,315 
2,123 
116,094 
140 
34,272 
41.2"
