"0","1","2","3"
"Cumulative cases  
Last 7 days 
Cumulative deaths","","",""
"7-day 
Cases/ 
Cases in 
Number of 
Total number 
Number of 
incidence/ 
Number of 
Federal State 
100,000 
the last 
deaths/ 
of cases 
new cases 
100,000 
deaths 
pop. 
7 days 
100,000 pop. 
pop.","","",""
"Baden-Wuerttemberg","282,920 
1,527 
2.549","10,161 
92","6,585 
59.3"
"Bavaria","387,863 
2,079 
2.955","14,277 
109","9,583 
73.0"
"Berlin","116,119 
613 
3.164","3,851 
105","2,021 
55.1"
"Brandenburg*","62,813 
816 
2.491","4,564 
181","1,896 
75.2"
"Bremen","15,326 
78 
2.250","540 
79","250 
36.7"
"Hamburg","44,249 
330 
2.395","1,464 
79","976 
52.8"
"Hesse","164,944 
1,091 
2.623","7,259 
115","4,362 
69.4"
"Mecklenburg- 
Western Pomerania","18,108 
282 
1.126","1,703 
106","355 
22.1"
"Lower Saxony","134,927 
1,510 
1.688","7,111 
89","2,945 
36.8"
"North Rhine-Westphalia","467,471 
3,332 
2.605","19,028 
106","9,895 
55.1"
"Rhineland-Palatinate","88,612 
757 
2.164","4,141 
101","2,263 
55.3"
"Saarland","24,068 
195 
2.439","1,069 
108","681 
69.0"
"Saxony","173,272 
1,394 
4.255","6,879 
169","5,670 
139.2"
"Saxony-Anhalt","47,452 
1,315 
2.162","4,480 
204","1,397 
63.7"
"Schleswig-Holstein","33,245 
425 
1.145","2,675 
92","741 
25.5"
"Thuringia","61,290 
673 
2.873","4,470 
210","1,901 
89.1"
"Total","2,122,679 
16,417 
2.552","93,672 
113","51,521 
61.9"
