"0","1","2","3","4","5","6","7"
"Letzte 7 Tage 
Fälle kumulativ 
Todesfälle kumulativ","","","","","","",""
"Fälle/ 
Fälle/ 
Fälle/ 
Differenz 
Bundesland 
100.000 
100.000 
100.000 
Fälle 
Fälle 
Fälle 
Vortag 
EW 
EW 
EW","","","","","","",""
"Baden-Württemberg","389.388","1.122","3.508","15.948","144","8.946","80,6"
"Bayern","532.732","1.868","4.059","20.960","160","13.562","103,3"
"Berlin","153.991","539","4.197","4.399","120","3.126","85,2"
"Brandenburg","93.523","178","3.708","3.227","128","3.401","134,9"
"Bremen","22.482","96","3.300","956","140","422","61,9"
"Hamburg","65.915","309","3.568","2.389","129","1.412","76,4"
"Hessen","234.519","707","3.730","8.932","142","6.521","103,7"
"Mecklenburg-
Vorpommern","34.020","181","2.115","2.052","128","914","56,8"
"Niedersachsen","212.176","657","2.654","8.534","107","5.037","63,0"
"Nordrhein-Westfalen","652.744","2.803","3.637","24.311","135","14.655","81,7"
"Rheinland-Pfalz","124.741","632","3.047","4.822","118","3.405","83,2"
"Saarland","33.628","66","3.407","1.165","118","934","94,6"
"Sachsen","236.496","784","5.808","8.637","212","8.573","210,5"
"Sachsen-Anhalt","79.541","279","3.624","3.816","174","2.848","129,8"
"Schleswig-Holstein","53.332","197","1.837","2.055","71","1.466","50,5"
"Thüringen","103.095","392","4.832","5.003","235","3.524","165,2"
"Gesamt","3.022.323","10.810","3.634","117.206","141","78.746","94,7"
