"0","1","2","3","4","5","6","7"
"Letzte 7 Tage 
Fälle kumulativ 
Todesfälle kumulativ","","","","","","",""
"Fälle/ 
Fälle/ 
Fälle/ 
Differenz 
Bundesland 
100.000 
100.000 
100.000 
Fälle 
Fälle 
Fälle 
Vortag 
EW 
EW 
EW","","","","","","",""
"Baden-Württemberg","386.719","2.675","3.484","14.879","134","8.912","80,3"
"Bayern","527.568","1.826","4.020","18.198","139","13.491","102,8"
"Berlin","152.959","643","4.168","3.886","106","3.122","85,1"
"Brandenburg","93.027","451","3.689","3.011","119","3.370","133,6"
"Bremen","22.282","121","3.271","902","132","420","61,7"
"Hamburg","65.266","498","3.533","2.268","123","1.411","76,4"
"Hessen","233.184","1.605","3.708","8.724","139","6.481","103,1"
"Mecklenburg-
Vorpommern","33.664","337","2.093","2.002","124","903","56,2"
"Niedersachsen","210.511","1.528","2.633","7.753","97","5.015","62,7"
"Nordrhein-Westfalen","647.555","4.326","3.608","22.442","125","14.574","81,2"
"Rheinland-Pfalz","123.382","533","3.014","4.085","100","3.394","82,9"
"Saarland","33.499","271","3.394","1.159","117","932","94,4"
"Sachsen","234.673","1.211","5.763","7.874","193","8.555","210,1"
"Sachsen-Anhalt","78.734","712","3.587","3.493","159","2.830","128,9"
"Schleswig-Holstein","52.986","375","1.825","2.086","72","1.460","50,3"
"Thüringen","102.259","743","4.793","4.662","219","3.483","163,3"
"Gesamt","2.998.268","17.855","3.605","107.424","129","78.353","94,2"
