"0","1","2","3"
"Federal State","Total 
Number 
Cases/ 
number 
of new 
100,000 
of cases 
cases 
pop.","7-day 
Cases in 
incidence 
the last 
per 
7 days 
100,000 
pop.","Number of 
Number 
deaths/ 
of 
100,000 
deaths 
pop."
"Baden-Wuerttemberg","47,883 
293 
433","1,500 
13,6","1,875 
16.9"
"Bavaria","66,192 
446 
506","2,437 
18,6","2,654 
20.3"
"Berlin","13,573 
199 
362","881 
23,5","228 
6.1"
"Brandenburg","4,150 
34 
165","85 
3,4","169 
6.7"
"Bremen","2,262 
12 
331","90 
13,2","59 
8.6"
"Hamburg","7,369 
78 
400","337 
18,3","269 
14.6"
"Hesse","18,035 
165 
288","752 
12,0","546 
8.7"
"Mecklenburg-Western 
Pomerania","1,136 
5 
71","57 
3,5","20 
1.2"
"Lower Saxony","19,315 
178 
242","804 
10,1","678 
8.5"
"North Rhine-Westphalia","66,680 
489 
372","2,905 
16,2","1,859 
10.4"
"Rhineland-Palatinate","10,282 
52 
252","325 
8,0","248 
6.1"
"Saarland*","3,262 
10 
329","55 
5,6","176 
17.8"
"Saxony","6,887 
71 
169","309 
7,6","229 
5.6"
"Saxony-Anhalt","2,497 
27 
113","104 
4,7","67 
3.0"
"Schleswig-Holstein","4,540 
42 
157","210 
7,2","161 
5.6"
"Thuringia","4,007 
42 
187","131 
6,1","190 
8.9"
"Total 
278,070 
2,143 
335 
10,982 
13,2 
9,428 
11.3","","",""
