"0","1","2","3"
"Meldejahr 2021 
Meldejahr 2021 
Änderung im Vergleich 
Meldewoche 10 
Meldewoche 11 
Bundesland 
Anzahl 
Inzidenz 
Anzahl 
Inzidenz 
Anzahl 
Anteil","","",""
"Baden-Württemberg","8.659 
78","11.572 
104","2.913 
+34%"
"Bayern","11.871 
90","14.805 
113","2.934 
+25%"
"Berlin","2.858 
78","3.717 
101","859 
+30%"
"Brandenburg","2.059 
82","2.871 
114","812 
+39%"
"Bremen","518 
76","706 
104","188 
+36%"
"Hamburg","1.744 
94","2.187 
118","443 
+25%"
"Hessen","5.630 
90","7.516 
120","1.886 
+33%"
"Mecklenburg-Vorpommern","1.102 
69","1.234 
77","132 
+12%"
"Niedersachsen","6.427 
80","7.742 
97","1.315 
+20%"
"Nordrhein-Westfalen","14.904 
83","19.390 
108","4.486 
+30%"
"Rheinland-Pfalz","2.497 
61","3.401 
83","904 
+36%"
"Saarland","581 
59","656 
66","75 
+13%"
"Sachsen","4.881 
120","6.705 
165","1.824 
+37%"
"Sachsen-Anhalt","2.437 
111","2.792 
127","355 
+15%"
"Schleswig-Holstein","1.492 
51","1.737 
60","245 
+16%"
"Thüringen","3.642 
171","4.492 
211","850 
+23%"
"Gesamt 
71.302 
86 
91.523 
110 
20.221 
+28%","","",""
