"0","1"
"Cumulative cases  
Last 7 days 
Cumulative deaths",""
"7-day 
Number 
Cases/ 
Cases in 
incidence 
Number 
Number of 
Total number of 
Federal State 
of new 
100,000 
the last 
per 
of 
deaths/ 
cases 
cases* 
pop. 
7 days 
100,000 
deaths 
100,000 pop. 
pop.",""
"Baden-Wuerttemberg","246,440 
1,510 
2,220 
13,836 
125 
5,052 
45.5"
"Bavaria","337,095 
2,528 
2,568 
21,018 
160 
7,163 
54.6"
"Berlin","99,525 
771 
2,712 
4,260 
116 
1,327 
36.2"
"Brandenburg","43,163 
276 
1,712 
3,616 
143 
1,015 
40.2"
"Bremen","13,803 
56 
2,026 
547 
80 
208 
30.5"
"Hamburg","37,879 
344 
2,051 
1,882 
102 
671 
36.3"
"Hesse","141,012 
641 
2,243 
8,244 
131 
3,095 
49.2"
"Mecklenburg- 
Western Pomerania","12,738 
176 
792 
1,552 
97 
189 
11.8"
"Lower Saxony","111,453 
676 
1,394 
7,057 
88 
2,101 
26.3"
"North Rhine-Westphalia","404,488 
1,969 
2,254 
20,990 
117 
7,010 
39.1"
"Rhineland-Palatinate","74,962 
527 
1,831 
4,699 
115 
1,531 
37.4"
"Saarland","20,272 
73 
2,054 
859 
87 
455 
46.1"
"Saxony","141,002 
1,302 
3,463 
12,165 
299 
3,412 
83.8"
"Saxony-Anhalt","32,480 
397 
1,480 
3,878 
177 
704 
32.1"
"Schleswig-Holstein","25,986 
235 
895 
2,240 
77 
475 
16.4"
"Thuringia","45,112 
416 
2,115 
5,159 
242 
1,110 
52.0"
"Total","1,787,410 
11,897 
2,149 
112,002 
135 
35,518 
42.7"
