"0","1","2","3"
"Federal State","Total 
Number 
Cases/ 
number 
of new 
100,000 
of cases 
cases* 
pop.","7-day 
Cases in 
incidence 
the last 
per 
7 days 
100,000 
pop.","Number of 
Number 
deaths/ 
of 
100,000 
deaths 
pop."
"Baden-Wuerttemberg","118,596 
1,600 
1,068 
14,782 
133.2 
2,297 
20.7","",""
"Bavaria","160,729 
1,880 
1,225 
22,744 
173.3 
3,191 
24.3","",""
"Berlin","49,039 
1,342 
1,336 
7,575 
206.4 
371 
10.1","",""
"Brandenburg","13,260 
387 
526 
2,005 
79.5 
251 
10.0","",""
"Bremen","8,277 
57 
1,215 
1,020 
149.7 
98 
14.4","",""
"Hamburg","20,405 
185 
1,105 
2,032 
110.0 
314 
17.0","",""
"Hesse","66,503 
1,024 
1,058 
10,276 
163.4 
905 
14.4","",""
"Mecklenburg- 
Western Pomerania","4,464 
29 
278 
664 
41.3 
40 
2.5","",""
"Lower Saxony","56,182 
749 
703 
7,669 
95.9 
917 
11.5","",""
"North Rhine-Westphalia","207,224 
4,407 
1,155 
29,798 
166.0 
2,700 
15.0","",""
"Rhineland-Palatinate","33,459 
896 
817 
5,920 
144.6 
370 
9.0","",""
"Saarland","10,300 
190 
1,044 
1,395 
141.4 
217 
22.0","",""
"Saxony","36,083 
1,113 
886 
7,042 
172.9 
546 
13.4","",""
"Saxony-Anhalt","8,383 
222 
382 
1,352 
61.6 
106 
4.8","",""
"Schleswig-Holstein","11,623 
101 
400 
1,364 
47.0 
227 
7.8","",""
"Thuringia","11,219 
237 
526 
1,958 
91.8 
264 
12.4","",""
"Total","815,746 
14,419 
981 
117,596 
141.4 
12,814 
15.4","",""
