"0","1","2","3","4","5","6","7"
"Letzte 7 Tage 
Fälle kumulativ 
Todesfälle kumulativ","","","","","","",""
"Fälle/ 
Fälle/ 
Fälle/ 
Differenz 
Bundesland 
100.000 
100.000 
100.000 
Fälle 
Fälle 
Fälle 
Vortag 
EW 
EW 
EW","","","","","","",""
"Baden-Württemberg","403.509","3.527","3.635","18.687","168","9.047","82"
"Bayern","550.632","3.952","4.195","23.933","182","13.715","104"
"Berlin","158.305","1.288","4.314","5.292","144","3.146","86"
"Brandenburg","96.158","554","3.813","3.564","141","3.443","137"
"Bremen","23.276","160","3.417","1.115","164","435","64"
"Hamburg","67.542","421","3.656","2.300","125","1.429","77"
"Hessen","242.061","1.552","3.850","9.959","158","6.596","105"
"Mecklenburg-
Vorpommern","35.843","424","2.229","2.347","146","926","58"
"Niedersachsen","219.426","1.864","2.745","9.267","116","5.119","64"
"Nordrhein-Westfalen","674.695","5.223","3.759","29.518","164","14.854","83"
"Rheinland-Pfalz","128.834","1.135","3.147","5.702","139","3.447","84"
"Saarland","34.434","137","3.489","1.129","114","942","95"
"Sachsen","244.070","1.740","5.994","9.427","232","8.724","214"
"Sachsen-Anhalt","82.455","698","3.757","3.925","179","2.909","133"
"Schleswig-Holstein","54.780","272","1.887","2.135","74","1.474","51"
"Thüringen","107.057","857","5.018","5.328","250","3.641","171"
"Gesamt","3.123.077","23.804","3.755","133.628","161","79.847","96"
