"0","1","2","3","4","5","6","7"
"Fälle kumulativ 
Letzte 7 Tage 
Todesfälle kumulativ","","","","","","",""
"Fälle/ 
Fälle/ 
Fälle/ 
Differenz 
100.000 
100.000 
100.000 
Bundesland 
Fälle 
Fälle 
Fälle 
Vortag 
EW 
EW 
EW","","","","","","",""
"Baden-Württemberg","491.213","840","4.425","5.154","46","9.933","89"
"Bayern","638.232","771","4.863","5.008","38","14.935","114"
"Berlin","178.221","285","4.857","1.322","36","3.482","95"
"Brandenburg","108.158","74","4.289","586","23","3.726","148"
"Bremen","27.028","39","3.968","211","31","473","69"
"Hamburg","76.097","85","4.119","430","23","1.557","84"
"Hessen","286.111","539","4.550","2.904","46","7.319","116"
"Mecklenburg-
Vorpommern","43.808","46","2.724","288","18","1.120","70"
"Niedersachsen","257.661","470","3.223","1.979","25","5.608","70"
"Nordrhein-Westfalen","803.694","1.180","4.478","7.462","42","16.710","93"
"Rheinland-Pfalz","152.424","252","3.723","1.361","33","3.724","91"
"Saarland","40.687","65","4.123","407","41","1.006","102"
"Sachsen","283.383","345","6.959","1.722","42","9.656","237"
"Sachsen-Anhalt","98.274","152","4.478","679","31","3.311","151"
"Schleswig-Holstein","62.947","108","2.168","550","19","1.591","55"
"Thüringen","127.358","175","5.970","1.087","51","4.199","197"
"Gesamt","3.675.296","5.426","4.419","31.150","37","88.350","106"
