"0","1"
"Fälle kumulativ 
Letzte 7 Tage 
Todesfälle kumulativ",""
"Fälle/ 
Fälle/ 
Fälle/ 
Differenz 
Fälle 
100.000 
Fälle 
100.000 
Fälle 
100.000 
Bundesland 
Vortag 
EW 
EW 
EW",""
"Baden-Württemberg","323.442 
1.210 
2.914 
6.629 
60 
8.264 
74,4"
"Bayern","446.196 
1.225 
3.400 
9.158 
70 
12.633 
96,3"
"Berlin","131.853 
307 
3.593 
2.516 
69 
2.891 
78,8"
"Brandenburg","78.096 
215 
3.097 
1.596 
63 
3.091 
122,6"
"Bremen","18.464 
61 
2.711 
449 
66 
366 
53,7"
"Hamburg","53.177 
232 
2.879 
1.410 
76 
1.312 
71,0"
"Hessen","192.671 
487 
3.064 
4.159 
66 
5.935 
94,4"
"Mecklenburg-
Vorpommern","25.662 
173 
1.596 
1.077 
67 
774 
48,1"
"Niedersachsen","169.624 
818 
2.122 
4.700 
59 
4.445 
55,6"
"Nordrhein-
Westfalen","544.088 
1.685 
3.032 
11.687 
65 
13.377 
74,5"
"Rheinland-Pfalz","104.027 
154 
2.541 
1.791 
44 
3.161 
77,2"
"Saarland","29.509 
94 
2.990 
552 
56 
891 
90,3"
"Sachsen","197.932 
574 
4.861 
3.321 
82 
7.986 
196,1"
"Sachsen-Anhalt","62.459 
203 
2.846 
1.792 
82 
2.499 
113,9"
"Schleswig-Holstein","43.766 
238 
1.507 
1.331 
46 
1.331 
45,8"
"Thüringen","79.216 
427 
3.713 
2.814 
132 
2.944 
138,0"
"Gesamt","2.500.182 
8.103 
3.006 
54.982 
66 
71.900 
86,5"
