"0","1","2","3"
"Fälle kumulativ 
Letzte 7 Tage 
Todesfälle kumulativ","","",""
"Fälle/ 
Fälle/ 
Fälle/ 
Differenz 
Fälle 
100.000 
Fälle 
100.000 
Fälle 
100.000 
Bundesland 
Vortag 
EW 
EW 
EW","","",""
"Baden-Württemberg","337.011 
2.127 
3.036","9.409 
85","8.478 
76,4"
"Bayern","465.058 
3.005 
3.543","12.552 
96","12.906 
98,3"
"Berlin","136.396 
621 
3.717","3.240 
88","2.955 
80,5"
"Brandenburg","81.356 
485 
3.226","2.285 
91","3.208 
127,2"
"Bremen","19.272 
138 
2.829","577 
85","385 
56,5"
"Hamburg*","55.475 
0 
3.003","1.223 
66","1.337 
72,4"
"Hessen","201.865 
1.554 
3.210","6.305 
100","6.108 
97,1"
"Mecklenburg-
Vorpommern","27.289 
195 
1.697","1.029 
64","817 
50,8"
"Niedersachsen","179.604 
1.669 
2.247","6.462 
81","4.666 
58,4"
"Nordrhein-
Westfalen","567.947 
4.145 
3.165","16.525 
92","13.803 
76,9"
"Rheinland-Pfalz","108.086 
662 
2.640","2.705 
66","3.231 
78,9"
"Saarland","30.408 
162 
3.081","567 
57","914 
92,6"
"Sachsen","205.416 
1.011 
5.045","4.466 
110","8.168 
200,6"
"Sachsen-Anhalt","66.118 
475 
3.013","2.343 
107","2.612 
119,0"
"Schleswig-Holstein","46.096 
338 
1.587","1.632 
56","1.393 
48,0"
"Thüringen","84.871 
917 
3.978","3.845 
180","3.151 
147,7"
"Gesamt","2.612.268 
17.504 
3.141","75.165 
90","74.132 
89,1"
