"0","1"
"Todesfälle 
 
Fälle kumulativ 
Letzte 7 Tage 
kumulativ",""
"Differenz 
Fälle/100.000 
Fälle/100.000 
Fälle/100.000 
Fälle 
Fälle 
Fälle 
Bundesland 
Vortag 
Einw. 
Einw. 
Einw.",""
"Baden-Württemberg","3.463 
1.891 
22.651 
204 
3.939 
35,5 
209.860"
"Bayern","287.207 
3.918 
2.188 
28.591 
218 
5.655 
43,1"
"Berlin","86.564 
1.320 
2.359 
7.618 
208 
1.001 
27,3"
"Brandenburg","31.875 
651 
1.264 
4.443 
176 
647 
25,7"
"Bremen","12.457 
90 
1.829 
803 
118 
168 
24,7"
"Hamburg","32.116 
525 
1.739 
2.710 
147 
545 
29,5"
"Hessen","120.716 
2.019 
1.920 
12.636 
201 
2.121 
33,7"
"Mecklenburg-
Vorpommern","9.664 
216 
601 
1.527 
95 
117 
7,3"
"Niedersachsen","93.811 
1.038 
1.174 
7.998 
100 
1.636 
20,5"
"Nordrhein-Westfalen","349.463 
4.277 
1.947 
32.697 
182 
5.209 
29,0"
"Rheinland-Pfalz","62.620 
618 
1.530 
6.407 
157 
1.056 
25,8"
"Saarland","17.520 
162 
1.775 
1.588 
161 
352 
35,7"
"Sachsen","104.744 
2.551 
2.572 
17.404 
427 
2.216 
54,4"
"Sachsen-Anhalt","22.520 
653 
1.026 
4.011 
183 
384 
17,5"
"Schleswig-Holstein","20.692 
433 
713 
2.705 
93 
324 
11,2"
"Thüringen","32.180 
837 
1.508 
6.046 
283 
679 
31,8"
"Gesamt","1.494.009 
22.771 
1.796 
159.835 
192 
26.049 
31,3"
