"0","1","2"
"Age group","","week 12 - 20, 
week 21 - 39, 
week 40, 2020  
week 7,  
2020 
2020 
- 3,  2021 
2021"
"0 to 14 years","SARI cases (total)","322 
869 
521 
7"
"","Proportion of COVID-19 (%)","0.3% 
0.2% 
3.5% 
14%"
"15 to 34 years","SARI cases (total)","178 
188 
353 
12"
"","Proportion of COVID-19 (%)","18% 
13% 
58% 
67%"
"35 to 59 years","SARI cases (total)","534 
510 
1,410 
56"
"","Proportion of COVID-19 (%)","31% 
13% 
69% 
70%"
"60 years and older","SARI cases (total)","1,689 
2,076 
4,407 
229"
"","Proportion of COVID-19 (%)","19% 
2.6% 
59% 
63%"
"Overall","SARI cases (total)","2,723 
3,643 
6,691 
304"
"","Proportion of COVID-19 (%)","19% 
4.0% 
57% 
63%"
