"0","1","2","3"
"Cumulative cases  
Last 7 days 
Cumulative deaths","","",""
"7-day 
Total 
Number 
Cases/ 
Cases in 
Number 
Number of 
incidence 
Federal State 
number 
of new 
100,000 
the last 
of 
deaths/ 
per 100,000 
of cases 
cases* 
pop. 
7 days 
deaths 
100,000 pop. 
pop.","","",""
"Baden-Wuerttemberg","188,241 
2,197 
1,696","20,789 
187","3,425 
30.9"
"Bavaria","259,793 
2,890 
1,979","26,728 
204","4,895 
37.3"
"Berlin","78,796 
548 
2,147","7,083 
193","821 
22.4"
"Brandenburg","26,952 
518 
1,069","3,825 
152","484 
19.2"
"Bremen","11,714 
53 
1,720","911 
134","158 
23.2"
"Hamburg","29,408 
273 
1,592","2,335 
126","478 
25.9"
"Hesse","108,316 
955 
1,723","11,360 
181","1,755 
27.9"
"Mecklenburg- 
Western Pomerania","8,232 
163 
512","1,448 
90","98 
6.1"
"Lower Saxony","85,729 
958 
1,072","7,501 
94","1,427 
17.9"
"North Rhine-Westphalia","317,966 
3,029 
1,772","30,100 
168","4,489 
25.0"
"Rhineland-Palatinate","56,345 
809 
1,376","6,468 
158","855 
20.9"
"Saarland","15,996 
408 
1,621","1,836 
186","307 
31.1"
"Saxony","86,807 
2,562 
2,132","15,437 
379","1,702 
41.8"
"Saxony-Anhalt","18,524 
372 
844","3,311 
151","274 
12.5"
"Schleswig-Holstein","18,100 
140 
623","2,314 
80","293 
10.1"
"Thuringia","26,159 
487 
1,226","5,005 
235","514 
24.1"
"Total","1,337,078 
16,362 
1,608","146,451 
176","21,975 
26.4"
