"0","1","2","3"
"Federal State","Total 
Number 
Cases/ 
number 
of new 
100,000 
of cases 
cases* 
pop.","7-day 
Cases in 
incidence 
the last 
per 
7 days 
100,000 
pop.","Number of 
Number 
deaths/ 
of 
100,000 
deaths 
pop."
"Baden-Wuerttemberg","149,318 
1,431 
1,345","14,723 
133","2,715 
24.5"
"Bavaria","207,159 
1,948 
1,578","22,983 
175","3,801 
29.0"
"Berlin*","64,220 
1,156 
1,750","7,301 
199","553 
15.1"
"Brandenburg","18,740 
252 
743","2,419 
96","337 
13.4"
"Bremen","9,909 
37 
1,455","633 
93","118 
17.3"
"Hamburg","24,705 
103 
1,337","1,471 
80","372 
20.1"
"Hesse","86,792 
513 
1,380","9,393 
149","1,248 
19.8"
"Mecklenburg- 
Western Pomerania","5,950 
42 
370","757 
47","61 
3.8"
"Lower Saxony","71,265 
408 
892","6,619 
83","1,152 
14.4"
"North Rhine-Westphalia","260,646 
2,256 
1,452","26,479 
148","3,435 
19.1"
"Rhineland-Palatinate","43,618 
582 
1,065","4,815 
118","517 
12.6"
"Saarland","12,673 
187 
1,284","1,097 
111","252 
25.5"
"Saxony","55,274 
1,470 
1,357","9,874 
242","922 
22.6"
"Saxony-Anhalt","12,339 
401 
562","2,155 
98","165 
7.5"
"Schleswig-Holstein","14,263 
71 
491","1,330 
46","253 
8.7"
"Thuringia","16,998 
312 
797","3,033 
142","347 
16.3"
"Total","1,053,869 
11,169 
1,267","115,082 
138","16,248 
19.5"
