"0","1","2","3","4","5","6","7"
"Fälle kumulativ 
Letzte 7 Tage 
Todesfälle kumulativ","","","","","","",""
"Fälle/ 
Fälle/ 
Fälle/ 
Differenz 
Bundesland 
Fälle 
100.000 
Fälle 
100.000 
Fälle 
100.000 
Vortag 
EW 
EW 
EW","","","","","","",""
"Baden-Württemberg","490.373","1.237","4.418","5.576","50","9.915","89"
"Bayern","637.461","1.224","4.857","5.262","40","14.918","114"
"Berlin","177.936","281","4.849","1.286","35","3.465","94"
"Brandenburg","108.084","173","4.286","675","27","3.720","148"
"Bremen","26.989","54","3.962","216","32","473","69"
"Hamburg","76.012","80","4.115","449","24","1.557","84"
"Hessen","285.572","656","4.541","3.030","48","7.305","116"
"Mecklenburg-
Vorpommern","43.762","62","2.721","310","19","1.120","70"
"Niedersachsen","257.191","423","3.217","2.044","26","5.598","70"
"Nordrhein-Westfalen","802.514","1.755","4.472","8.049","45","16.684","93"
"Rheinland-Pfalz","152.172","263","3.717","1.474","36","3.719","91"
"Saarland","40.622","80","4.116","477","48","1.005","102"
"Sachsen","283.038","625","6.951","1.737","43","9.625","236"
"Sachsen-Anhalt","98.122","164","4.471","714","33","3.308","151"
"Schleswig-Holstein","62.839","79","2.164","600","21","1.586","55"
"Thüringen","127.183","224","5.962","1.199","56","4.189","196"
"Gesamt","3.669.870","7.380","4.413","33.098","40","88.187","106"
