"0","1"
"Fälle kumulativ 
Letzte 7 Tage 
Todesfälle kumulativ",""
"Differenz 
Fälle/ 
Fälle/ 
Fälle/ 
Fälle 
Fälle 
Fälle 
Bundesland 
Vortag 
100.000 EW 
100.000 EW 
100.000 EW",""
"Baden-Württemberg","237.993 
3.495 
2.144 
14.717 
133 
4.789 
43,1"
"Bayern","324.937 
6.598 
2.476 
21.434 
163 
6.716 
51,2"
"Berlin","96.788 
1.059 
2.638 
4.612 
126 
1.247 
34,0"
"Brandenburg","41.241 
1.614 
1.635 
4.457 
177 
937 
37,2"
"Bremen","13.559 
148 
1.990 
546 
80 
194 
28,5"
"Hamburg","36.417 
470 
1.971 
1.856 
100 
632 
34,2"
"Hessen","136.577 
3.102 
2.172 
8.311 
132 
2.845 
45,2"
"Mecklenburg-
Vorpommern","11.997 
374 
746 
1.430 
89 
171 
10,6"
"Niedersachsen","106.789 
2.021 
1.336 
6.362 
80 
1.967 
24,6"
"Nordrhein-Westfalen","393.185 
5.748 
2.191 
22.750 
127 
6.552 
36,5"
"Rheinland-Pfalz","71.993 
1.244 
1.759 
4.503 
110 
1.428 
34,9"
"Saarland","19.879 
340 
2.014 
1.115 
113 
432 
43,8"
"Sachsen","132.356 
3.571 
3.250 
13.302 
327 
3.139 
77,1"
"Sachsen-Anhalt","29.200 
884 
1.330 
3.365 
153 
602 
27,4"
"Schleswig-Holstein","24.792 
508 
854 
2.239 
77 
425 
14,6"
"Thüringen","42.034 
1.376 
1.970 
5.258 
246 
995 
46,6"
"Gesamt","1.719.737 
32.552 
2.068 
116.257 
140 
33.071 
39,8"
