"0","1"
"Cumulative cases  
Last 7 days 
Cumulative deaths",""
"7-day 
Number 
Cases/ 
Cases in 
incidence 
Number 
Number of 
Total number of 
Federal State 
of new 
100,000 
the last 
per 
of 
deaths/ 
cases 
cases* 
pop. 
7 days 
100,000 
deaths 
100,000 pop. 
pop.",""
"Baden-Wuerttemberg","231,686 
1,657 
2,087 
16,319 
147 
4,587 
41.3"
"Bavaria","314,934 
1,962 
2,400 
21,201 
162 
6,398 
48.7"
"Berlin","94,442 
646 
2,574 
5,325 
145 
1,172 
31.9"
"Brandenburg","37,820 
683 
1,500 
3,414 
135 
814 
32.3"
"Bremen","13,259 
54 
1,946 
616 
90 
186 
27.3"
"Hamburg","35,484 
153 
1,921 
2,091 
113 
598 
32.4"
"Hesse","132,204 
400 
2,102 
8,744 
139 
2,582 
41.1"
"Mecklenburg- 
Western Pomerania","11,168 
113 
694 
1,242 
77 
152 
9.5"
"Lower Saxony","103,750 
506 
1,298 
6,972 
87 
1,851 
23.2"
"North Rhine-Westphalia","383,008 
2,521 
2,134 
24,912 
139 
6,227 
34.7"
"Rhineland-Palatinate","70,024 
827 
1,710 
5,023 
123 
1,328 
32.4"
"Saarland","19,341 
19 
1,960 
1,296 
131 
412 
41.7"
"Saxony","126,421 
2,232 
3,105 
14,849 
365 
2,838 
69.7"
"Saxony-Anhalt","27,754 
316 
1,265 
3,779 
172 
532 
24.2"
"Schleswig-Holstein","23,784 
260 
819 
2,473 
85 
394 
13.6"
"Thuringia","39,647 
543 
1,858 
5,839 
274 
907 
42.5"
"Total","1,664,726 
12,892 
2,002 
124,095 
149 
30,978 
37.2"
