"0","1","2","3"
"Federal State","Total 
Number 
Cases/ 
number 
of new 
100,000 
of cases 
cases* 
pop.","7-day 
Cases in 
incidence 
the last 
per 
7 days 
100,000 
pop.","Number of 
Number 
deaths/ 
of 
100,000 
deaths 
pop."
"Baden-Wuerttemberg","1753 
602 
7,496 
67.5 
1,966 
17.7 
66,838","",""
"Bavaria","88,319 
2265 
673 
9,767 
74.4 
2,740 
20.9","",""
"Berlin","25,374 
893 
691 
4,139 
112.8 
248 
6.8","",""
"Brandenburg","6,309 
289 
250 
804 
31.9 
180 
7.1","",""
"Bremen","4,152 
276 
610 
685 
100.6 
64 
9.4","",""
"Hamburg","11,043 
360 
598 
1,164 
63.0 
283 
15.3","",""
"Hesse","31,128 
1730 
495 
5,903 
93.9 
607 
9.7","",""
"Mecklenburg-Western 
Pomerania","2,056 
120 
128 
389 
24.2 
21 
1.3","",""
"Lower Saxony","29,101 
1023 
364 
3,441 
43.0 
728 
9.1","",""
"North Rhine-Westphalia","104,617 
4,370 
583 
15,703 
87.5 
2,008 
11.2","",""
"Rhineland-Palatinate","15,781 
595 
385 
2,348 
57.4 
268 
6.5","",""
"Saarland","5,008 
152 
507 
700 
70.9 
178 
18.0","",""
"Saxony","12,453 
382 
306 
2,219 
54.5 
273 
6.7","",""
"Saxony-Anhalt","3,760 
118 
171 
534 
24.3 
73 
3.3","",""
"Schleswig-Holstein","6,520 
236 
225 
882 
30.4 
164 
5.6","",""
"Thuringia","5,546 
152 
260 
692 
32.4 
202 
9.5","",""
"Total","418,005 
14,714 
503 
56,866 
68,4 
10,003 
12.0","",""
