"0","1","2","3","4","5","6","7"
"Fälle kumulativ 
Letzte 7 Tage 
Todesfälle kumulativ","","","","","","",""
"Fälle/ 
Fälle/ 
Fälle/ 
Differenz 
Bundesland 
Fälle 
100.000 
Fälle 
100.000 
Fälle 
100.000 
Vortag 
EW 
EW 
EW","","","","","","",""
"Baden-Württemberg","449.178","2.856","4.047","20.363","183","9.377","84"
"Bayern","598.259","2.581","4.558","19.281","147","14.192","108"
"Berlin","168.955","500","4.604","4.508","123","3.213","88"
"Brandenburg","102.685","338","4.072","2.716","108","3.574","142"
"Bremen*","25.243","0","3.706","734","108","454","67"
"Hamburg","72.182","312","3.908","1.692","92","1.502","81"
"Hessen","264.976","1.205","4.214","9.648","153","6.893","110"
"Mecklenburg-
Vorpommern","40.508","229","2.519","1.929","120","999","62"
"Niedersachsen","239.993","1.363","3.002","8.130","102","5.323","67"
"Nordrhein-Westfalen","743.916","3.828","4.145","28.265","157","15.575","87"
"Rheinland-Pfalz","140.908","449","3.442","4.785","117","3.561","87"
"Saarland","37.671","198","3.817","1.428","145","960","97"
"Sachsen","264.472","1.255","6.495","8.500","209","9.116","224"
"Sachsen-Anhalt","91.349","360","4.162","3.525","161","3.096","141"
"Schleswig-Holstein","59.045","246","2.033","1.703","59","1.512","52"
"Thüringen","117.482","570","5.507","4.646","218","3.845","180"
"Gesamt","3.416.822","16.290","4.108","121.853","147","83.192","100"
