"0","1","2","3","4","5","6","7"
"Fälle kumulativ 
Letzte 7 Tage 
Todesfälle kumulativ","","","","","","",""
"Fälle/ 
Fälle/ 
Fälle/ 
Differenz 
Bundesland 
Fälle 
100.000 
Fälle 
100.000 
Fälle 
100.000 
Vortag 
EW 
EW 
EW","","","","","","",""
"Baden-Württemberg","407.605","1.410","3.672","19.248","173","9.063","82"
"Bayern","556.150","2.151","4.237","24.580","187","13.738","105"
"Berlin","159.254","332","4.340","5.638","154","3.149","86"
"Brandenburg","96.903","285","3.842","3.564","141","3.453","137"
"Bremen","23.532","91","3.454","1.160","170","435","64"
"Hamburg","68.241","297","3.694","2.322","126","1.431","77"
"Hessen","244.208","611","3.884","10.184","162","6.610","105"
"Mecklenburg-
Vorpommern","36.333","184","2.259","2.408","150","927","58"
"Niedersachsen","221.894","921","2.776","9.866","123","5.125","64"
"Nordrhein-Westfalen","681.986","2.853","3.800","30.712","171","14.912","83"
"Rheinland-Pfalz","130.107","692","3.178","5.663","138","3.453","84"
"Saarland","34.817","24","3.528","1.241","126","943","96"
"Sachsen","246.067","756","6.043","9.631","237","8.735","215"
"Sachsen-Anhalt","83.377","418","3.799","3.914","178","2.913","133"
"Schleswig-Holstein","55.270","138","1.903","2.092","72","1.475","51"
"Thüringen","107.955","274","5.060","5.243","246","3.644","171"
"Gesamt","3.153.699","11.437","3.792","137.466","165","80.006","96"
