"0","1","2","3"
"Fälle kumulativ 
Letzte 7 Tage 
Todesfälle kumulativ 
Differenz 
Fälle/100.000 
Fälle/100.000 
Fälle/100.000 
Fälle 
Fälle 
Fälle 
Bundesland 
Vortag 
Einw. 
Einw. 
Einw.","","",""
"Baden-Württemberg","47.883 
293 
433","1.500 
13,6","1.875 
16,9"
"Bayern","66.192 
446 
506","2.437 
18,6","2.654 
20,3"
"Berlin","13.573 
199 
362","881 
23,5","228 
6,1"
"Brandenburg","4.150 
34 
165","85 
3,4","169 
6,7"
"Bremen","2.262 
12 
331","90 
13,2","59 
8,6"
"Hamburg","7.369 
78 
400","337 
18,3","269 
14,6"
"Hessen","18.035 
165 
288","752 
12,0","546 
8,7"
"Mecklenburg-Vorpommern","1.136 
5 
71","57 
3,5","20 
1,2"
"Niedersachsen","19.315 
178 
242","804 
10,1","678 
8,5"
"Nordrhein-Westfalen","66.680 
489 
372","2.905 
16,2","1.859 
10,4"
"Rheinland-Pfalz","10.282 
52 
252","325 
8,0","248 
6,1"
"Saarland","3.262 
10 
329","55 
5,6","176 
17,8"
"Sachsen","6.887 
71 
169","309 
7,6","229 
5,6"
"Sachsen-Anhalt","2.497 
27 
113","104 
4,7","67 
3,0"
"Schleswig-Holstein","4.540 
42 
157","210 
7,2","161 
5,6"
"Thüringen","4.007 
42 
187","131 
6,1","190 
8,9"
"Gesamt","278.070 
2.143 
335","10.982 
13,2","9.428 
11,3"
