"0","1","2","3"
"Todesfälle 
 
Fälle kumulativ 
Letzte 7 Tage 
kumulativ","","",""
"Differenz 
Fälle/100.000 
Fälle/100.000 
Fälle/100.000 
Fälle 
Fälle 
Fälle 
Bundesland 
Einw. 
Vortag 
Einw. 
Einw.","","",""
"Baden-Württemberg","43.259 
334 
391","1.451 
13,1","1.865 
16,8"
"Bayern","58.692 
307 
449","1.573 
12,0","2.641 
20,2"
"Berlin","11.623 
94 
310","448 
12,0","226 
6,0"
"Brandenburg","3.923 
21 
156","46 
1,8","169 
6,7"
"Bremen","2.056 
8 
301","79 
11,6","58 
8,5"
"Hamburg","6.451 
55 
350","210 
11,4","267 
14,5"
"Hessen","15.978 
66 
255","590 
9,4","535 
8,5"
"Mecklenburg-
Vorpommern","1.023 
4 
64","17 
1,1","20 
1,2"
"Niedersachsen","17.210 
77 
216","498 
6,2","665 
8,3"
"Nordrhein-Westfalen","60.085 
274 
335","1.560 
8,7","1.823 
10,2"
"Rheinland-Pfalz","9.305 
45 
228","299 
7,3","243 
5,9"
"Saarland","3.189 
13 
322","54 
5,5","174 
17,6"
"Sachsen","6.138 
43 
151","179 
4,4","225 
5,5"
"Sachsen-Anhalt","2.274 
11 
103","40 
1,8","66 
3,0"
"Schleswig-Holstein","4.115 
8 
142","79 
3,3","161 
5,6"
"Thüringen","3.676 
18 
172","55 
2,6","186 
8,7"
"Gesamt","248.997 
1.378 
300","7.196 
8,7","9.324 
11,2"
