"0","1","2","3","4","5","6","7"
"Fälle kumulativ 
Letzte 7 Tage 
Todesfälle kumulativ","","","","","","",""
"Fälle/ 
Fälle/ 
Fälle/ 
Differenz 
Bundesland 
Fälle 
Fälle 
Fälle 
100.000 
100.000 
100.000 
Vortag 
EW 
EW 
EW","","","","","","",""
"Baden-Württemberg","496.996","617","4.477","2.871","26","10.046","91"
"Bayern","643.956","639","4.906","2.868","22","15.070","115"
"Berlin","179.465","122","4.891","740","20","3.513","96"
"Brandenburg","108.630","14","4.307","234","9","3.751","149"
"Bremen","27.294","14","4.007","140","21","477","70"
"Hamburg","76.737","60","4.154","292","16","1.578","85"
"Hessen","288.915","291","4.595","1.372","22","7.412","118"
"Mecklenburg-
Vorpommern","44.021","6","2.737","85","5","1.136","71"
"Niedersachsen","259.887","155","3.251","962","12","5.692","71"
"Nordrhein-Westfalen","811.869","700","4.524","3.734","21","16.920","94"
"Rheinland-Pfalz","154.198","181","3.767","845","21","3.771","92"
"Saarland","41.149","52","4.170","211","21","1.014","103"
"Sachsen","285.179","147","7.003","629","15","9.938","244"
"Sachsen-Anhalt","98.981","52","4.510","268","12","3.389","154"
"Schleswig-Holstein","63.517","65","2.187","287","10","1.610","55"
"Thüringen","128.335","72","6.016","476","22","4.268","200"
"Gesamt","3.709.129","3.187","4.460","16.014","19","89.585","108"
