"0","1","2","3"
"Erstimpfungen 
Zweitimpfungen 
Bevölkerung 
Anzahl 
Impfquote 
Anzahl 
Bundesland 
Impfquote 
in % 
in %","","",""
"Baden-Württemberg","720.138","292.625 
40,6","152.049 
21,1"
"Bayern *","831.499","318.776 
38,3","127.307 
15,3"
"Berlin *","211.227","129.080 
61,1","89.161 
42,2"
"Brandenburg *","197.346","45.444 
23,0","33.218 
16,8"
"Bremen","45.522","16.462 
36,2","9.589 
21,1"
"Hamburg","107.709","42.926 
39,9","20.604 
19,1"
"Hessen *","404.039","151.488 
37,5","59.501 
14,7"
"Mecklenburg-Vorpommern","126.684","34.605 
27,3","18.525 
14,6"
"Niedersachsen","554.368","194.683 
35,1","59.163 
10,7"
"Nordrhein-Westfalen  
(nur Westfalen-Lippe)","568.379","165.739 
29,2","53.634 
9,4"
"Rheinland-Pfalz *","282.032","82.852 
29,4","52.224 
18,5"
"Saarland","75.795","30.460 
40,2","15.403 
20,3"
"Sachsen *","348.757","78.693 
22,6","30.506 
8,7"
"Sachsen-Anhalt *","182.164","37.700 
20,7","19.556 
10,7"
"Schleswig-Holstein","207.658","65.617 
31,6","40.963 
19,7"
"Thüringen","169.482","57.642 
34,0","26.750 
15,8"
