"0","1"
"Fälle kumulativ 
Letzte 7 Tage 
Todesfälle kumulativ",""
"Fälle/ 
Fälle/ 
Fälle/ 
Differenz 
Fälle 
100.000 
Fälle 
100.000 
Fälle 
100.000 
Bundesland 
Vortag 
EW 
EW 
EW",""
"Baden-Württemberg","318.526 
1.085 
2.870 
5.773 
52 
8.152 
73,4"
"Bayern","439.746 
1.696 
3.351 
8.746 
67 
12.495 
95,2"
"Berlin","130.077 
483 
3.545 
2.303 
63 
2.849 
77,6"
"Brandenburg","77.022 
301 
3.054 
1.645 
65 
3.049 
120,9"
"Bremen","18.149 
78 
2.664 
513 
75 
346 
50,8"
"Hamburg","52.220 
185 
2.827 
1.286 
70 
1.287 
69,7"
"Hessen","189.743 
831 
3.018 
4.120 
66 
5.877 
93,5"
"Mecklenburg-
Vorpommern","24.859 
250 
1.546 
1.056 
66 
752 
46,8"
"Niedersachsen","165.838 
504 
2.075 
4.756 
59 
4.363 
54,6"
"Nordrhein-
Westfalen","535.738 
1.867 
2.985 
11.449 
64 
13.195 
73,5"
"Rheinland-Pfalz","102.699 
263 
2.509 
1.964 
48 
3.124 
76,3"
"Saarland","29.097 
117 
2.948 
680 
69 
876 
88,8"
"Sachsen","195.262 
484 
4.795 
3.027 
74 
7.861 
193,1"
"Sachsen-Anhalt","61.119 
214 
2.785 
1.889 
86 
2.446 
111,4"
"Schleswig-Holstein","42.825 
187 
1.475 
1.348 
46 
1.308 
45,0"
"Thüringen","77.110 
474 
3.614 
2.656 
124 
2.901 
136,0"
"Gesamt","2.460.030 
9.019 
2.958 
53.211 
64 
70.881 
85,2"
