"0","1","2","3"
"Federal State","Total 
Number 
Cases/ 
number 
of new 
100,000 
of cases 
cases 
pop.","7-day 
Cases in 
incidence 
the last 
per 
7 days 
100,000 
pop.","Number of 
Number 
deaths/ 
of 
100,000 
deaths 
pop."
"Baden-Wuerttemberg","47,590 
237 
430","1,561 
14,1","1,874 
16.9"
"Bavaria","65,746 
415 
503","2,500 
19,1","2,653 
20.3"
"Berlin","13,374 
117 
357","857 
22,9","228 
6.1"
"Brandenburg","4,116 
15 
164","69 
2,7","169 
6.7"
"Bremen","2,250 
27 
329","93 
13,6","59 
8.6"
"Hamburg","7,291 
61 
396","313 
17,0","269 
14.6"
"Hesse","17,870 
113 
285","762 
12,2","545 
8.7"
"Mecklenburg-Western 
Pomerania","1,131 
8 
70","52 
3,2","20 
1.2"
"Lower Saxony","19,137 
173 
240","804 
10,1","670 
8.4"
"North Rhine-Westphalia","66,191 
438 
369","2,885 
16,1","1,854 
10.3"
"Rhineland-Palatinate","10,230 
47 
250","354 
8,7","248 
6.1"
"Saarland*","3,252 
18 
328","67 
6,8","176 
17.8"
"Saxony","6,816 
42 
167","280 
6,9","227 
5.6"
"Saxony-Anhalt","2,470 
13 
112","93 
4,2","67 
3.0"
"Schleswig-Holstein","4,498 
38 
155","199 
6,9","161 
5.6"
"Thuringia","3,965 
7 
185","114 
5,3","189 
8.8"
"275,927 
1,769 
332 
11,003 
13,2 
9,409 
11.3 
Total","","",""
