"0","1","2","3","4","5","6","7"
"Fälle kumulativ 
Letzte 7 Tage 
Todesfälle kumulativ 
 
Fälle/ 
Fälle/ 
Fälle/ 
Differenz 
100.000 
100.000 
100.000 
Bundesland 
Fälle 
Fälle 
Fälle 
Vortag 
EW 
EW 
EW","","","","","","",""
"Baden-Württemberg","467.881","1.000","4.215","15.602","141","9.565","86"
"Bayern","615.946","608","4.693","15.260","116","14.470","110"
"Berlin","173.192","466","4.720","3.440","94","3.305","90"
"Brandenburg*","105.072","0","4.166","2.098","83","3.633","144"
"Bremen","26.168","25","3.841","661","97","463","68"
"Hamburg","74.172","192","4.015","1.346","73","1.519","82"
"Hessen","273.775","423","4.354","7.520","120","7.073","112"
"Mecklenburg-
Vorpommern","42.073","58","2.616","1.362","85","1.055","66"
"Niedersachsen","247.888","466","3.101","6.736","84","5.427","68"
"Nordrhein-Westfalen","771.298","1.409","4.298","22.111","123","16.030","89"
"Rheinland-Pfalz","146.109","377","3.569","4.012","98","3.622","88"
"Saarland","38.832","42","3.935","1.045","106","967","98"
"Sachsen","273.501","404","6.717","6.826","168","9.291","228"
"Sachsen-Anhalt","94.714","166","4.315","2.757","126","3.174","145"
"Schleswig-Holstein","60.759","135","2.092","1.459","50","1.534","53"
"Thüringen","121.996","354","5.718","3.736","175","3.984","187"
"Gesamt","3.533.376","6.125","4.249","95.971","115","85.112","102"
