"0","1"
"Fälle kumulativ 
Letzte 7 Tage 
Todesfälle kumulativ 
Fälle/ 
Fälle/ 
Fälle/ 
Differenz 
Fälle 
100.000 
Fälle 
100.000 
Fälle 
100.000 
Bundesland 
Vortag 
EW 
EW 
EW",""
"Baden-Württemberg","317.441 
398 
2.860 
5.764 
52 
8.102 
73,0"
"Bayern","438.050 
443 
3.338 
8.605 
66 
12.429 
94,7"
"Berlin","129.594 
244 
3.532 
2.301 
63 
2.824 
77,0"
"Brandenburg","76.721 
155 
3.042 
1.647 
65 
3.024 
119,9"
"Bremen","18.071 
25 
2.653 
554 
81 
342 
50,2"
"Hamburg","52.035 
256 
2.817 
1.371 
74 
1.278 
69,2"
"Hessen","188.912 
289 
3.004 
4.070 
65 
5.843 
92,9"
"Mecklenburg-
Vorpommern","24.609 
55 
1.530 
1.064 
66 
745 
46,3"
"Niedersachsen","165.334 
470 
2.068 
5.294 
66 
4.326 
54,1"
"Nordrhein-
Westfalen","533.871 
723 
2.975 
11.536 
64 
13.141 
73,2"
"Rheinland-Pfalz","102.436 
175 
2.502 
2.032 
50 
3.111 
76,0"
"Saarland","28.980 
20 
2.937 
682 
69 
872 
88,4"
"Sachsen","194.778 
221 
4.783 
3.307 
81 
7.817 
192,0"
"Sachsen-Anhalt","60.905 
186 
2.775 
2.032 
93 
2.425 
110,5"
"Schleswig-Holstein","42.638 
97 
1.468 
1.444 
50 
1.304 
44,9"
"Thüringen","76.636 
186 
3.592 
2.670 
125 
2.880 
135,0"
"Gesamt","2.451.011 
3.943 
2.947 
54.373 
65 
70.463 
84,7"
