"0","1","2","3"
"Todesfälle 
 
Fälle kumulativ 
Letzte 7 Tage 
kumulativ 
Differenz 
Fälle/100.000 
Fälle/100.000 
Fälle/100.000 
Fälle 
Fälle 
Fälle 
Bundesland 
Vortag 
Einw. 
Einw. 
Einw.","","",""
"Baden-Württemberg","40.173 
142 
363","1.479 
13,4","1.863 
16,8"
"Bayern","55.061 
203 
421","1.853 
14,2","2.634 
20,1"
"Berlin","10.728 
11 
286","458 
12,2","226 
6,0"
"Brandenburg","3.787 
0 
151","78 
3,1","169 
6,7"
"Bremen","1.905 
5 
279","60 
8,8","56 
8,2"
"Hamburg","6.054 
35 
329","139 
7,5","265 
14,4"
"Hessen","14.657 
70 
234","1.110 
17,7","528 
8,4"
"Mecklenburg-
Vorpommern","994 
2 
62","22 
1,4","20 
1,2"
"Niedersachsen","16.096 
41 
202","595 
7,5","660 
8,3"
"Nordrhein-Westfalen","56.916 
132 
317","2.113 
11,8","1.798 
10,0"
"Rheinland-Pfalz","8.667 
52 
212","462 
11,3","243 
5,9"
"Saarland","3.076 
5 
311","72 
7,3","174 
17,6"
"Sachsen","5.824 
4 
143","83 
2,0","225 
5,5"
"Sachsen-Anhalt","2.180 
1 
99","54 
2,4","65 
2,9"
"Schleswig-Holstein","3.904 
2 
135","108 
3,7","160 
5,5"
"Thüringen","3.553 
6 
166","52 
2,4","186 
8,7"
"Gesamt","233.575 
711 
281","8.738 
10,5","9.272 
11,2"
