"0","1","2","3","4","5","6","7"
"Fälle kumulativ 
Letzte 7 Tage 
Todesfälle kumulativ","","","","","","",""
"Fälle/ 
Fälle/ 
Fälle/ 
Differenz 
Bundesland 
Fälle 
100.000 
Fälle 
100.000 
Fälle 
100.000 
Vortag 
EW 
EW 
EW","","","","","","",""
"Baden-Württemberg","501.287","121","4.516","567","5,1","10.292","93"
"Bayern","648.417","187","4.940","766","5,8","15.284","116"
"Berlin","180.429","51","4.917","228","6,2","3.563","97"
"Brandenburg","108.758","13","4.313","71","2,8","3.811","151"
"Bremen","27.501","1","4.037","50","7,3","488","72"
"Hamburg","77.542","28","4.198","149","8,1","1.597","86"
"Hessen","291.440","112","4.635","523","8,3","7.549","120"
"Mecklenburg-
Vorpommern","44.166","3","2.746","16","1,0","1.161","72"
"Niedersachsen","261.437","97","3.271","365","4,6","5.791","72"
"Nordrhein-Westfalen","817.383","209","4.554","1.019","5,7","17.190","96"
"Rheinland-Pfalz","155.483","54","3.798","259","6,3","3.894","95"
"Saarland","41.591","14","4.214","72","7,3","1.027","104"
"Sachsen","285.971","24","7.023","74","1,8","10.098","248"
"Sachsen-Anhalt","99.271","16","4.523","28","1,3","3.428","156"
"Schleswig-Holstein","64.016","31","2.205","112","3,9","1.623","56"
"Thüringen","128.827","9","6.039","58","2,7","4.345","204"
"Gesamt","3.733.519","970","4.489","4.357","5,2","91.141","110"
