"0","1","2","3","4","5","6","7"
"Fälle kumulativ 
Letzte 7 Tage 
Todesfälle kumulativ","","","","","","",""
"Fälle/ 
Fälle/ 
Fälle/ 
Differenz 
Bundesland 
Fälle 
100.000 
Fälle 
100.000 
Fälle 
100.000 
Vortag 
EW 
EW 
EW","","","","","","",""
"Baden-Württemberg","473.284","2.841","4.264","14.183","128","9.640","87"
"Bayern","620.745","2.567","4.730","13.254","101","14.536","111"
"Berlin","174.409","707","4.753","3.060","83","3.325","91"
"Brandenburg","105.881","412","4.198","1.924","76","3.664","145"
"Bremen","26.392","118","3.874","563","83","467","69"
"Hamburg","74.495","177","4.033","1.149","62","1.530","83"
"Hessen","276.800","1.439","4.402","7.184","114","7.100","113"
"Mecklenburg-
Vorpommern","42.574","216","2.647","1.211","75","1.068","66"
"Niedersachsen","250.092","1.216","3.129","5.940","74","5.455","68"
"Nordrhein-Westfalen","778.353","3.947","4.337","19.991","111","16.170","90"
"Rheinland-Pfalz","147.469","762","3.602","3.770","92","3.631","89"
"Saarland","39.221","220","3.974","1.001","101","974","99"
"Sachsen","275.860","1.442","6.775","5.706","140","9.342","229"
"Sachsen-Anhalt","95.599","497","4.356","2.428","111","3.185","145"
"Schleswig-Holstein","61.210","205","2.108","1.333","46","1.539","53"
"Thüringen","123.320","653","5.781","3.467","163","4.032","189"
"Gesamt","3.565.704","17.419","4.287","86.164","104","85.658","103"
