"0","1","2","3","4","5","6","7"
"Fälle kumulativ 
Letzte 7 Tage 
Todesfälle kumulativ","","","","","","",""
"Fälle/ 
Fälle/ 
Fälle/ 
Differenz 
Bundesland 
Fälle 
100.000 
Fälle 
100.000 
Fälle 
100.000 
Vortag 
EW 
EW 
EW","","","","","","",""
"Baden-Württemberg","493.292","773","4.444","4.994","45","9.991","90"
"Bayern","640.253","806","4.878","4.927","38","14.963","114"
"Berlin","178.556","196","4.866","1.210","33","3.497","95"
"Brandenburg","108.336","103","4.296","518","21","3.735","148"
"Bremen","27.140","47","3.984","243","36","475","70"
"Hamburg","76.337","108","4.132","403","22","1.565","85"
"Hessen","287.141","440","4.566","2.897","46","7.372","117"
"Mecklenburg-
Vorpommern","43.910","59","2.730","284","18","1.123","70"
"Niedersachsen","258.573","370","3.235","2.096","26","5.631","70"
"Nordrhein-Westfalen","806.867","1.186","4.496","7.541","42","16.789","94"
"Rheinland-Pfalz","153.048","208","3.738","1.352","33","3.736","91"
"Saarland","40.871","97","4.141","393","40","1.011","102"
"Sachsen","284.051","228","6.976","1.615","40","9.720","239"
"Sachsen-Anhalt","98.519","61","4.489","611","28","3.347","152"
"Schleswig-Holstein","63.179","79","2.176","522","18","1.595","55"
"Thüringen","127.755","156","5.988","996","47","4.224","198"
"Gesamt","3.687.828","4.917","4.434","30.602","37","88.774","107"
