"0","1","2","3"
"Federal State","Total 
Number 
Cases/ 
number 
of new 
100,000 
of cases 
cases* 
pop.","7-day 
Cases in 
incidence 
the last 
per 
7 days 
100,000 
pop.","Number of 
Number 
deaths/ 
of 
100,000 
deaths 
pop."
"Baden-Wuerttemberg","152,782 
2,063 
1,376","14,640 
132","2,825 
25.4"
"Bavaria","213,308 
3,626 
1,625","22,321 
170","3,970 
30.2"
"Berlin","66,306 
1,161 
1,807","6,273 
171","594 
16.2"
"Brandenburg","19,605 
483 
777","2,302 
91","359 
14.2"
"Bremen","10,253 
159 
1,505","808 
119","125 
18.3"
"Hamburg","25,143 
288 
1,361","1,254 
68","385 
20.8"
"Hesse","89,446 
1,368 
1,422","9,625 
153","1,338 
21.3"
"Mecklenburg- 
Western Pomerania","6,116 
121 
380","723 
45","65 
4.0"
"Lower Saxony","72,534 
948 
907","5,967 
75","1,184 
14.8"
"North Rhine-Westphalia","267,069 
3,354 
1,488","24,720 
138","3,621 
20.2"
"Rhineland-Palatinate","45,169 
798 
1,103","4,893 
120","572 
14.0"
"Saarland","12,884 
70 
1,306","1,074 
109","258 
26.1"
"Saxony","58,894 
1,857 
1,446","10,647 
261","1,010 
24.8"
"Saxony-Anhalt","12,788 
260 
583","1,989 
91","181 
8.2"
"Schleswig-Holstein","14,587 
243 
502","1,292 
44","258 
8.9"
"Thuringia","17,859 
471 
837","2,940 
138","378 
17.7"
"Total","1,084,743 
17,270 
1,304","111,468 
134","17,123 
20.6"
