"0","1","2","3"
"Fälle kumulativ 
Letzte 7 Tage 
Todesfälle kumulativ","","",""
"Fälle/ 
Fälle/ 
Fälle/ 
Differenz 
Bundesland 
Fälle 
100.000 
Fälle 
100.000 
Fälle 
100.000 
Vortag 
EW 
EW 
EW","","",""
"Baden-Württemberg","285.615 
474 
2.573","9.656 
87","6.728 
60,6"
"Bayern","391.863 
760 
2.986","13.654 
104","9.773 
74,5"
"Berlin","117.114 
372 
3.192","3.731 
102","2.067 
56,3"
"Brandenburg*","64.265 
621 
2.548","4.061 
161","2.028 
80,4"
"Bremen","15.467 
32 
2.271","518 
76","255 
37,4"
"Hamburg","44.919 
201 
2.432","1.555 
84","990 
53,6"
"Hessen","166.452 
233 
2.647","6.814 
108","4.494 
71,5"
"Mecklenburg-
Vorpommern","18.569 
107 
1.155","1.650 
103","384 
23,9"
"Niedersachsen","136.795 
593 
1.711","6.682 
84","3.031 
37,9"
"Nordrhein-
Westfalen","472.482 
1.403 
2.633","18.381 
102","10.161 
56,6"
"Rheinland-Pfalz","89.830 
384 
2.194","4.104 
100","2.330 
56,9"
"Saarland","24.396 
108 
2.472","1.101 
112","696 
70,5"
"Sachsen","175.171 
353 
4.302","6.553 
161","5.799 
142,4"
"Sachsen-Anhalt","48.795 
390 
2.223","4.298 
196","1.493 
68,0"
"Schleswig-Holstein","33.972 
111 
1.170","2.606 
90","769 
26,5"
"Thüringen","62.372 
270 
2.924","4.145 
194","1.992 
93,4"
"Gesamt**","2.148.077 
6.412 
2.583","89.509 
108","52.990 
63,7"
