"0","1","2","3"
"7-day 
Total 
Number 
Cases in 
Number of 
Cases/ 
incidence 
Number 
Federal State 
number 
of new 
the last 
deaths/ 
100,000 pop. 
per 100,000 
of deaths 
of cases 
cases 
7 days 
100,000 pop. 
pop.","","",""
"Baden-Wuerttemberg","37,642 
68 
340","340 
3.1","1,852 
16.7"
"Bavaria","51,710 
128 
395","750 
5.7","2,626 
20.1"
"Berlin","9,543 
53 
255","315 
8.4","224 
6.0"
"Brandenburg","3,600 
3 
143","30 
1.2","168 
6.7"
"Bremen","1,798 
6 
263","24 
3.5","56 
8.2"
"Hamburg","5,530 
44 
300","124 
6.7","262 
14.2"
"Hesse","12,468 
158 
199","473 
7.5","524 
8.4"
"Mecklenburg-Western  
Pomerania","910 
3 
57","44 
2.7","20 
1.2"
"Lower Saxony","14,847 
124 
186","357 
4.5","654 
8.2"
"North Rhine-
Westphalia","50,937 
444 
284","2,148 
12.0","1,755 
9.8"
"Rhineland-Palatinate","7,713 
46 
189","190 
4.7","239 
5.9"
"Saarland","2,900 
3 
293","24 
2.4","174 
17.6"
"Saxony","5,590 
20 
137","49 
1.2","225 
5.5"
"Saxony-Anhalt","2,044 
0 
93","25 
1.1","64 
2.9"
"Schleswig-Holstein","3,569 
35 
123","138 
4.8","158 
5.5"
"Thuringia","3,413 
12 
159","46 
2.1","182 
8.5"
"Total 
214,214 
1147 
258 
5,077 
6.1 
9,183 
11.0","","",""
