"0","1"
"12. – 20. 
21. – 39. 
  
  
KW 2020 
KW 2020","40. – 43. KW 
44. KW 
2020 
2020"
"0 bis 14 Jahre 
SARI-Fälle (Anzahl) 
321 
857","176 
23"
"Anteil COVID-19 (%) 
0,3% 
0,2%","1,1% 
0,0%"
"15 bis 34 Jahre 
SARI-Fälle (Anzahl) 
175 
187","73 
27"
"Anteil COVID-19 (%) 
19% 
13%","30% 
52%"
"35 bis 59 Jahre 
SARI-Fälle (Anzahl) 
527 
503","191 
76"
"Anteil COVID-19 (%) 
31% 
13%","36% 
67%"
"60 Jahre und älter 
SARI-Fälle (Anzahl) 
1.652 
2.025","566 
240"
"Anteil COVID-19 (%) 
20% 
3%","18% 
48%"
"Gesamt 
SARI-Fälle (Anzahl 
2.675 
3.572","1.006 
366"
"Anteil COVID-19 (%) 
20% 
4%","19% 
49%"
