"0","1","2","3","4","5","6","7"
"Fälle kumulativ 
Letzte 7 Tage 
Todesfälle kumulativ","","","","","","",""
"Fälle/ 
Fälle/ 
Fälle/ 
Differenz 
Bundesland 
Fälle 
100.000 
Fälle 
100.000 
Fälle 
100.000 
Vortag 
EW 
EW 
EW","","","","","","",""
"Baden-Württemberg","446.322","3.315","4.021","20.430","184","9.366","84"
"Bayern","595.678","2.774","4.539","19.741","150","14.180","108"
"Berlin","168.455","616","4.591","4.440","121","3.212","88"
"Brandenburg","102.347","398","4.058","2.767","110","3.568","141"
"Bremen","25.243","93","3.706","886","130","454","67"
"Hamburg","71.870","238","3.891","1.661","90","1.496","81"
"Hessen","263.771","1.444","4.195","9.904","158","6.878","109"
"Mecklenburg-
Vorpommern","40.279","323","2.505","1.942","121","998","62"
"Niedersachsen","238.630","1.243","2.985","8.139","102","5.312","66"
"Nordrhein-Westfalen","740.088","4.357","4.124","28.652","160","15.551","87"
"Rheinland-Pfalz","140.459","732","3.431","5.103","125","3.561","87"
"Saarland","37.473","239","3.797","1.395","141","960","97"
"Sachsen","263.217","1.333","6.464","8.310","204","9.105","224"
"Sachsen-Anhalt","90.989","580","4.146","3.707","169","3.094","141"
"Schleswig-Holstein","58.799","257","2.025","1.785","61","1.510","52"
"Thüringen","116.912","993","5.480","4.713","221","3.837","180"
"Gesamt","3.400.532","18.935","4.089","123.575","149","83.082","100"
