"0","1","2"
"Cumulative cases   
Last 7 days","","Cumulative deaths"
"7-da y 
Ca s es/ 
Ca s es in 
Total  number 
Number of 
i nci dence/ 
Federal State 
100,000 
the l ast 
of ca s es 
new ca ses 
100,000 
pop. 
7 da ys  
pop.","","Number of 
Number of 
dea ths/ 
dea ths 
100,000 pop."
"Baden-Wuerttemberg","272,796 
820 
2,458 
12,318 
111 
6,071 
54.7",""
"Bavaria","374,868 
2,172 
2,856 
18,598 
142 
8,690 
66.2",""
"Berlin","112,262 
532 
3,059 
5,886 
160 
1,823 
49.7",""
"Brandenburg*","56,836 
800 
2,254 
5,193 
206 
1,595 
63.2",""
"Bremen","14,900 
104 
2,187 
588 
86 
231 
33.9",""
"Hamburg","42,727 
378 
2,313 
2,011 
109 
904 
48.9",""
"Hesse","158,544 
1,289 
2,521 
8,164 
130 
3,936 
62.6",""
"Mecklenburg- 
Western Pomerania","16,614 
253 
1,033 
1,909 
119 
298 
18.5",""
"Lower  Saxony","128,015 
900 
1,601 
7,317 
92 
2,628 
32.9",""
"North  Rhine-Westphalia","450,721 
3,228 
2,511 
22,084 
123 
9,091 
50.7",""
"Rhineland-Palatinate","84,639 
410 
2,067 
4,366 
107 
2,048 
50.0",""
"Saarland","23,132 
193 
2,344 
1,091 
111 
608 
61.6",""
"Saxony","166,572 
1,280 
4,091 
10,287 
253 
5,079 
124.7",""
"Saxony-Anhalt","42,680 
431 
1,945 
4,954 
226 
1,133 
51.6",""
"Schleswig-Holstein","30,956 
375 
1,066 
2,502 
86 
651 
22.4",""
"Thuringia","57,256 
717 
2,684 
5,851 
274 
1,633 
76.5",""
"Total","2,033,518 
13,882 
2,445 
113,119 
136 
46,419 
55.8",""
