"0","1","2","3"
"Fälle kumulativ 
Letzte 7 Tage 
Todesfälle kumulativ 
Differenz 
Fälle/100.000 
Fälle/100.000 
Fälle/100.000 
Fälle 
Fälle 
Fälle 
Bundesland 
Vortag 
Einw. 
Einw. 
Einw.","","",""
"Baden-Württemberg","47.590 
237 
430","1.561 
14,1","1.874 
16,9"
"Bayern","65.746 
415 
503","2.500 
19,1","2.653 
20,3"
"Berlin","13.374 
117 
357","857 
22,9","228 
6,1"
"Brandenburg","4.116 
15 
164","69 
2,7","169 
6,7"
"Bremen","2.250 
27 
329","93 
13,6","59 
8,6"
"Hamburg","7.291 
61 
396","313 
17,0","269 
14,6"
"Hessen","17.870 
113 
285","762 
12,2","545 
8,7"
"Mecklenburg-Vorpommern","1.131 
8 
70","52 
3,2","20 
1,2"
"Niedersachsen","19.137 
173 
240","804 
10,1","670 
8,4"
"Nordrhein-Westfalen","66.191 
438 
369","2.885 
16,1","1.854 
10,3"
"Rheinland-Pfalz","10.230 
47 
250","354 
8,7","248 
6,1"
"Saarland","3.252 
18 
328","67 
6,8","176 
17,8"
"Sachsen","6.816 
42 
167","280 
6,9","227 
5,6"
"Sachsen-Anhalt","2.470 
13 
112","93 
4,2","67 
3,0"
"Schleswig-Holstein","4.498 
38 
155","199 
6,9","161 
5,6"
"Thüringen","3.965 
7 
185","114 
5,3","189 
8,8"
"Gesamt","275.927 
1.769 
332","11.003 
13,2","9.409 
11,3"
