"0","1","2","3","4"
"Anzahl 
Positiv 
Positivenanteil 
Anzahl übermittelnder 
Kalenderwoche 
Testungen 
getestet 
(%) 
Labore","","","",""
"Bis einschließlich 
KW15/2021","54.095.196","3.523.394","",""
"16/2021","1.427.668","177.251","12,42","212"
"17/2021","1.360.960","152.086","11,17","211"
"18/2021","1.255.724","128.709","10,25","212"
"19/2021","1.100.259","90.312","8,21","210"
"20/2021","1.218.879","70.279","5,77","209"
"21/2021","948.957","39.316","4,14","208"
"22/2021","881.789","27.440","3,11","208"
"23/2021","830.132","19.211","2,31","207"
"24/2021","725.937","10.395","1,43","202"
"25/2021","705.520","6.793","0,96","201"
"Summe","64.551.021","4.245.186","",""
