"0","1","2","3","4","5","6"
"Bundesland","Impfzentren, Mobile Teams, 
Krankenhäuser","","Arztpraxen (Vertragsärzte und 
Privatärzte)","","Betriebsärzte",""
"","Erstimpfungen","Zweitimpfungen","Erstimpfungen","Zweitimpfungen","Erstimpfungen","Zweitimpfungen"
"","Gesamt","Gesamt","Gesamt","Gesamt","Gesamt","Gesamt"
"Baden-Württemberg","3.691.680","2.618.226","2.217.192","1.113.763","91.629","2.777"
"Bayern","3.865.909","3.131.605","2.823.731","1.401.354","114.996","1.862"
"Berlin","1.202.208","797.235","795.504","411.824","14.821","299"
"Brandenburg","730.922","482.777","577.486","292.524","5.077","120"
"Bremen","293.060","167.991","126.449","60.261","6.600","57"
"Hamburg","583.984","434.060","364.324","169.317","21.902","175"
"Hessen","2.060.071","1.440.621","1.268.015","621.873","43.461","2.117"
"Mecklenburg-
Vorpommern","486.407","354.292","392.137","227.951","2.150","19"
"Niedersachsen","2.538.369","1.741.018","1.879.604","831.701","44.237","468"
"Nordrhein-Westfalen","5.594.233","4.453.169","4.448.349","2.068.482","150.899","2.022"
"Rheinland-Pfalz","1.355.914","924.604","888.865","418.773","21.351","307"
"Saarland","340.673","287.613","223.886","109.834","7.588","63"
"Sachsen","1.240.032","980.732","720.435","400.693","11.189","259"
"Sachsen-Anhalt","683.617","480.526","449.967","229.433","3.938","163"
"Schleswig-Holstein","948.122","674.878","730.735","329.427","9.159","71"
"Thüringen","728.394","480.150","366.297","211.000","4.046","73"
"Gesamt","26.343.595","19.449.497","18.272.976","8.898.210","553.043","10.852"
