"0","1","2","3","4","5","6","7"
"Fälle kumulativ 
Letzte 7 Tage 
Todesfälle kumulativ","","","","","","",""
"Fälle/ 
Fälle/ 
Fälle/ 
Differenz 
Bundesland 
Fälle 
100.000 
Fälle 
100.000 
Fälle 
100.000 
Vortag 
EW 
EW 
EW","","","","","","",""
"Baden-Württemberg","500.569","141","4.509","725","6,5","10.243","92"
"Bayern","647.491","132","4.933","826","6,3","15.256","116"
"Berlin","180.165","33","4.910","209","5,7","3.559","97"
"Brandenburg","108.684","7","4.310","66","2,6","3.803","151"
"Bremen","27.440","14","4.028","40","5,9","485","71"
"Hamburg","77.341","27","4.187","141","7,6","1.594","86"
"Hessen","290.848","92","4.625","462","7,3","7.515","120"
"Mecklenburg-
Vorpommern","44.146","9","2.745","26","1,6","1.154","72"
"Niedersachsen","261.002","63","3.265","237","3,0","5.763","72"
"Nordrhein-Westfalen","816.107","176","4.547","993","5,5","17.138","95"
"Rheinland-Pfalz","155.176","45","3.790","216","5,3","3.889","95"
"Saarland","41.472","12","4.202","65","6,6","1.019","103"
"Sachsen","285.819","28","7.019","117","2,9","10.076","247"
"Sachsen-Anhalt","99.229","1","4.521","21","1,0","3.426","156"
"Schleswig-Holstein","63.889","13","2.200","95","3,3","1.621","56"
"Thüringen","128.763","15","6.036","75","3,5","4.334","203"
"Gesamt","3.728.141","808","4.483","4.314","5,2","90.875","109"
