"0","1","2","3","4","5","6","7"
"Fälle kumulativ 
Letzte 7 Tage 
Todesfälle kumulativ","","","","","","",""
"Fälle/ 
Fälle/ 
Fälle/ 
Differenz 
Bundesland 
Fälle 
100.000 
Fälle 
100.000 
Fälle 
100.000 
Vortag 
EW 
EW 
EW","","","","","","",""
"Baden-Württemberg","483.056","2.103","4.352","9.079","82","9.780","88"
"Bayern","630.509","1.767","4.804","9.032","69","14.699","112"
"Berlin","176.497","462","4.810","2.067","56","3.416","93"
"Brandenburg","107.234","307","4.252","1.296","51","3.690","146"
"Bremen","26.716","91","3.922","380","56","470","69"
"Hamburg","75.334","190","4.078","648","35","1.541","83"
"Hessen","281.797","1.046","4.481","4.729","75","7.189","114"
"Mecklenburg-
Vorpommern","43.330","108","2.694","757","47","1.094","68"
"Niedersachsen","254.251","932","3.181","3.722","47","5.529","69"
"Nordrhein-Westfalen","792.263","2.642","4.414","13.472","75","16.408","91"
"Rheinland-Pfalz","150.197","540","3.669","2.552","62","3.672","90"
"Saarland","40.017","147","4.055","772","78","988","100"
"Sachsen","280.262","1.035","6.883","3.481","85","9.483","233"
"Sachsen-Anhalt","97.127","275","4.425","1.380","63","3.252","148"
"Schleswig-Holstein","62.122","174","2.139","913","31","1.571","54"
"Thüringen","125.681","479","5.891","2.278","107","4.120","193"
"Gesamt","3.626.393","12.298","4.360","56.558","68","86.902","104"
