"0","1","2","3","4","5","6","7"
"Fälle kumulativ 
Letzte 7 Tage 
Todesfälle kumulativ","","","","","","",""
"Fälle/ 
Fälle/ 
Fälle/ 
Differenz 
Bundesland 
Fälle 
100.000 
Fälle 
100.000 
Fälle 
100.000 
Vortag 
EW 
EW 
EW","","","","","","",""
"Baden-Württemberg","496.379","667","4.472","2.990","27","10.036","90"
"Bayern","643.317","649","4.902","2.888","22","15.061","115"
"Berlin","179.343","118","4.887","828","23","3.512","96"
"Brandenburg","108.616","41","4.307","280","11","3.751","149"
"Bremen","27.280","33","4.005","147","22","475","70"
"Hamburg","76.677","53","4.151","296","16","1.578","85"
"Hessen","288.624","287","4.590","1.496","24","7.405","118"
"Mecklenburg-
Vorpommern","44.015","18","2.737","99","6","1.133","70"
"Niedersachsen","259.732","202","3.249","1.108","14","5.686","71"
"Nordrhein-Westfalen","811.169","713","4.520","4.159","23","16.905","94"
"Rheinland-Pfalz","154.017","137","3.762","908","22","3.769","92"
"Saarland","41.097","40","4.164","225","23","1.014","103"
"Sachsen","285.032","122","7.000","727","18","9.917","244"
"Sachsen-Anhalt","98.929","52","4.507","302","14","3.379","154"
"Schleswig-Holstein","63.452","45","2.185","305","11","1.609","55"
"Thüringen","128.263","77","6.012","511","24","4.261","200"
"Gesamt","3.705.942","3.254","4.456","17.269","21","89.491","108"
