"0","1","2","3"
"Fälle kumulativ 
Letzte 7 Tage 
Todesfälle kumulativ","","",""
"Differenz 
Fälle/100.000 
Fälle/100.000 
Fälle/100.000 
Fälle 
Fälle 
Fälle 
Bundesland 
Einw. 
Vortag 
Einw. 
Einw.","","",""
"Baden-Württemberg","77.477 
2.313 
698","11.000 
99,1","2.010 
18,1"
"Bayern","102.074 
3.076 
778","14.972 
114,1","2.797 
21,3"
"Berlin","30.356 
1.131 
827","5.361 
146,1","253 
6,9"
"Brandenburg","7.468 
260 
296","1.091 
43,3","190 
7,5"
"Bremen","5.100 
209 
749","1.092 
160,3","70 
10,3"
"Hamburg","12.947 
390 
701","1.725 
93,4","283 
15,3"
"Hessen","39.093 
1.708 
622","9.165 
145,8","641 
10,2"
"Mecklenburg-
Vorpommern","2.616 
132 
163","609 
37,9","23 
1,4"
"Niedersachsen","34.228 
1.248 
428","5.150 
64,4","743 
9,3"
"Nordrhein-Westfalen","127.447 
5.396 
710","25.119 
140,0","2.102 
11,7"
"Rheinland-Pfalz","19.108 
688 
467","3.520 
86,0","281 
6,9"
"Saarland","6.142 
336 
622","1.150 
116,5","186 
18,8"
"Sachsen","16.493 
1.113 
405","3.662 
89,9","315 
7,7"
"Sachsen-Anhalt","4.804 
222 
219","1.089 
49,6","77 
3,5"
"Schleswig-Holstein","7.716 
217 
266","1.340 
46,1","174 
6,0"
"Thüringen","6.625 
242 
311","1.170 
54,8","204 
9,6"
"Gesamt","499.694 
18.681 
601","87.215 
104,9","10.349 
12,4"
