"0","1","2","3","4","5","6","7"
"Fälle kumulativ 
Letzte 7 Tage 
Todesfälle kumulativ","","","","","","",""
"Fälle/ 
Fälle/ 
Fälle/ 
Differenz 
Bundesland 
Fälle 
100.000 
Fälle 
100.000 
Fälle 
100.000 
Vortag 
EW 
EW 
EW","","","","","","",""
"Baden-Württemberg","498.911","289","4.495","1.857","17","10.136","91"
"Bayern","645.785","236","4.920","1.778","14","15.150","115"
"Berlin","179.818","64","4.900","392","11","3.535","96"
"Brandenburg","108.608","3","4.307","131","5","3.765","149"
"Bremen","27.363","8","4.017","72","11","481","71"
"Hamburg","77.015","52","4.169","221","12","1.582","86"
"Hessen","289.817","127","4.609","855","14","7.460","119"
"Mecklenburg-
Vorpommern","44.097","8","2.742","65","4","1.148","71"
"Niedersachsen","260.448","91","3.258","508","6","5.721","72"
"Nordrhein-Westfalen","814.114","236","4.536","2.278","13","17.022","95"
"Rheinland-Pfalz","154.714","90","3.779","517","13","3.830","94"
"Saarland","41.324","20","4.187","162","16","1.018","103"
"Sachsen","285.537","23","7.012","288","7","9.998","246"
"Sachsen-Anhalt","99.133","23","4.517","111","5","3.408","155"
"Schleswig-Holstein","63.692","27","2.193","173","6","1.618","56"
"Thüringen","128.579","33","6.027","236","11","4.307","202"
"Gesamt","3.718.955","1.330","4.472","9.644","12","90.179","108"
