"0","1","2","3"
"Cumulative cases  
Last 7 days 
Cumulative deaths","","",""
"7-day 
Total 
Cases/ 
Cases in 
Number of 
Number of 
incidence/ 
Number of 
Federal State 
number of 
100,000 
the last 
deaths/ 
new cases 
100,000 
deaths 
cases 
pop. 
7 days 
100,000 pop. 
pop.","","",""
"Baden-Wuerttemberg","1,245 
2,685 
297,994","7,094 
64","7,341 
66.1"
"Bavaria","410,005 
1,984 
3,124","10,712 
82","11,023 
84.0"
"Berlin","121,878 
479 
3,321","2,630 
72","2,420 
65.9"
"Brandenburg","70,233 
428 
2,785","2,455 
97","2,539 
100.7"
"Bremen","16,355 
129 
2,401","612 
90","285 
41.8"
"Hamburg","47,191 
225 
2,555","1,175 
64","1,120 
60.6"
"Hesse","175,378 
889 
2,789","5,280 
84","5,114 
81.3"
"Mecklenburg- 
Western Pomerania","20,849 
258 
1,296","1,399 
87","520 
32.3"
"Lower Saxony","146,205 
1,567 
1,829","5,491 
69","3,509 
43.9"
"North Rhine-Westphalia","495,483 
2,814 
2,761","13,938 
78","11,386 
63.4"
"Rhineland-Palatinate","94,801 
499 
2,316","2,753 
67","2,685 
65.6"
"Saarland","26,500 
204 
2,685","1,158 
117","766 
77.6"
"Saxony","183,110 
777 
4,497","4,096 
101","6,659 
163.5"
"Saxony-Anhalt","53,825 
467 
2,452","2,607 
119","1,922 
87.6"
"Schleswig-Holstein","37,359 
315 
1,287","1,945 
67","985 
33.9"
"Thuringia","67,743 
628 
3,175","3,121 
146","2,323 
108.9"
"Total","2,264,909 
12,908 
2,723","66,466 
80","60,597 
72.9"
