"0","1","2","3","4","5","6","7"
"Fälle kumulativ 
Letzte 7 Tage 
Todesfälle kumulativ","","","","","","",""
"Fälle/ 
Fälle/ 
Fälle/ 
Differenz 
Bundesland 
Fälle 
100.000 
Fälle 
100.000 
Fälle 
100.000 
Vortag 
EW 
EW 
EW","","","","","","",""
"Baden-Württemberg","501.040","23","4.514","569","5,1","10.282","93"
"Bayern","648.056","65","4.938","715","5,4","15.278","116"
"Berlin","180.322","54","4.914","196","5,3","3.561","97"
"Brandenburg","108.726","8","4.311","61","2,4","3.810","151"
"Bremen","27.482","6","4.034","56","8,2","488","72"
"Hamburg","77.476","10","4.194","141","7,6","1.597","86"
"Hessen","291.218","23","4.631","482","7,7","7.545","120"
"Mecklenburg-
Vorpommern","44.164","1","2.746","21","1,3","1.158","72"
"Niedersachsen","261.248","31","3.268","293","3,7","5.770","72"
"Nordrhein-Westfalen","816.947","114","4.552","1.009","5,6","17.172","96"
"Rheinland-Pfalz","155.360","31","3.795","216","5,3","3.894","95"
"Saarland","41.555","36","4.211","60","6,1","1.027","104"
"Sachsen","285.931","11","7.022","68","1,7","10.089","248"
"Sachsen-Anhalt","99.251","6","4.522","23","1,0","3.427","156"
"Schleswig-Holstein","63.979","16","2.203","102","3,5","1.623","56"
"Thüringen","128.809","5","6.038","76","3,6","4.341","203"
"Gesamt","3.731.564","440","4.487","4.088","4,9","91.062","109"
