"0","1","2","3","4","5","6","7"
"Fälle kumulativ 
Letzte 7 Tage 
Todesfälle kumulativ","","","","","","",""
"Fälle/ 
Fälle/ 
Fälle/ 
Differenz 
Bundesland 
Fälle 
100.000 
Fälle 
100.000 
Fälle 
100.000 
Vortag 
EW 
EW 
EW","","","","","","",""
"Baden-Württemberg","435.322","3.885","3.922","21.307","192","9.293","84"
"Bayern","585.055","3.437","4.458","21.376","163","14.055","107"
"Berlin","166.046","951","4.525","4.917","134","3.200","87"
"Brandenburg","100.710","444","3.993","2.974","118","3.534","140"
"Bremen","24.812","152","3.642","1.036","152","451","66"
"Hamburg","70.912","211","3.839","1.761","95","1.474","80"
"Hessen","258.487","2.036","4.111","11.037","176","6.815","108"
"Mecklenburg-
Vorpommern","39.298","590","2.444","2.234","139","980","61"
"Niedersachsen","233.766","1.119","2.924","8.839","111","5.260","66"
"Nordrhein-Westfalen","724.667","4.849","4.038","31.989","178","15.375","86"
"Rheinland-Pfalz","137.562","789","3.360","5.488","134","3.539","86"
"Saarland","36.616","236","3.710","1.376","139","955","97"
"Sachsen","258.178","1.562","6.340","8.565","210","9.016","221"
"Sachsen-Anhalt","88.837","657","4.048","3.930","179","3.053","139"
"Schleswig-Holstein","57.982","358","1.997","2.040","70","1.504","52"
"Thüringen","114.282","955","5.357","4.714","221","3.776","177"
"Gesamt","3.332.532","22.231","4.007","133.583","161","82.280","99"
