"0","1","2","3"
"Fälle kumulativ 
Letzte 7 Tage 
Todesfälle kumulativ","","",""
"Differenz 
Fälle/100.000 
Fälle/100.000 
Fälle/100.000 
Fälle 
Fälle 
Fälle 
Bundesland 
Einw. 
Vortag 
Einw. 
Einw.","","",""
"Baden-
Württemberg","102.293 
1541 
922","15.072 
135,8","2.133 
19,2"
"Bayern","136.636 
2828 
1041","22.540 
171,7","2.953 
22,5"
"Berlin","40.460 
836 
1103","6.221 
169,5","301 
8,2"
"Brandenburg","10.790 
274 
428","1.795 
71,2","223 
8,8"
"Bremen","7.254 
121 
1065","1.363 
200,1","88 
12,9"
"Hamburg","17.437 
298 
944","2.251 
121,9","304 
16,5"
"Hessen","55.744 
1701 
887","10.811 
171,9","786 
12,5"
"Mecklenburg-
Vorpommern","3.786 
41 
235","802 
49,9","31 
1,9"
"Niedersachsen","47.319 
997 
592","7.440 
93,1","834 
10,4"
"Nordrhein-
Westfalen","175.951 
4320 
980","30.248 
168,5","2.395 
13,3"
"Rheinland-Pfalz","27.237 
885 
665","5.168 
126,2","325 
7,9"
"Saarland","8.640 
214 
875","1.359 
137,7","202 
20,5"
"Sachsen","27.339 
659 
671","6.038 
148,3","409 
10,0"
"Sachsen-Anhalt","6.928 
194 
316","1.338 
61,0","93 
4,2"
"Schleswig-Holstein","10.214 
214 
352","1.554 
53,5","205 
7,1"
"Thüringen","9.172 
209 
430","1.668 
78,2","224 
10,5"
"Gesamt","687.200 
15.332 
826","115.668 
139,1","11.506 
13,8"
