"0","1","2","3","4","5"
"Cumulative cases  
Last 7 days 
Cumulative deaths","","","","",""
"Federal State","Total 
Number 
Cases/ 
number of 
of new 
100,000 
cases 
cases* 
pop.","Cases in 
the last 
7 days","7-day 
incidence 
per 
100,000 
pop.","Number 
of 
deaths","Number of 
deaths/ 
100,000 
pop."
"Baden-Wuerttemberg","227,305 
1,951 
2,048","19,458 
175","","4,400 
39.6",""
"Bavaria","308,651 
2,785 
2,352","23,678 
180","","6,150 
46.9",""
"Berlin","92,346 
278 
2,517","5,637 
154","","1,118 
30.5",""
"Brandenburg","36,214 
341 
1,436","3,657 
145","","771 
30.6",""
"Bremen","13,134 
35 
1,928","772 
113","","178 
26.1",""
"Hamburg","34,813 
359 
1,885","2,646 
143","","584 
31.6",""
"Hesse","130,109 
903 
2,069","10,653 
169","","2,423 
38.5",""
"Mecklenburg- 
Western Pomerania","10,841 
160 
674","1,335 
83","","139 
8.6",""
"Lower Saxony","101,877 
1,534 
1,274","8,184 
102","","1,774 
22.2",""
"North Rhine-Westphalia","375,714 
2,416 
2,093","29,053 
162","","5,888 
32.8",""
"Rhineland-Palatinate","68,113 
567 
1,664","5,623 
137","","1,229 
30.0",""
"Saarland","19,122 
184 
1,938","1,574 
159","","406 
41.1",""
"Saxony","121,060 
1,290 
2,973","16,440 
404","","2,682 
65.9",""
"Saxony-Anhalt","26,569 
605 
1,211","4,142 
189","","502 
22.9",""
"Schleswig-Holstein","23,094 
230 
795","2,689 
93","","359 
12.4",""
"Thuringia","38,141 
817 
1,788","6,462 
303","","819 
38.4",""
"Total","1,627,103 
14,455 
1,956","142,003 
171","","29,422 
35.4",""
