"0","1","2","3","4","5","6","7"
"Fälle kumulativ 
Letzte 7 Tage 
Todesfälle kumulativ","","","","","","",""
"Fälle/ 
Fälle/ 
Fälle/ 
Differenz 
Bundesland 
Fälle 
100.000 
Fälle 
100.000 
Fälle 
100.000 
Vortag 
EW 
EW 
EW","","","","","","",""
"Baden-Württemberg","417.455","4.809","3.761","20.312","183","9.146","82"
"Bayern","567.037","4.691","4.320","23.661","180","13.864","106"
"Berlin","161.643","1.168","4.405","4.911","134","3.168","86"
"Brandenburg","98.495","829","3.906","3.456","137","3.483","138"
"Bremen","24.013","219","3.525","1.100","161","443","65"
"Hamburg","69.140","401","3.743","2.005","109","1.442","78"
"Hessen","249.343","2.386","3.965","10.153","161","6.691","106"
"Mecklenburg-
Vorpommern","37.392","453","2.325","2.222","138","950","59"
"Niedersachsen","225.746","1.880","2.824","9.003","113","5.169","65"
"Nordrhein-Westfalen","696.949","6.696","3.883","31.129","173","15.116","84"
"Rheinland-Pfalz","132.799","1.154","3.244","5.748","140","3.489","85"
"Saarland","35.633","489","3.611","1.505","152","946","96"
"Sachsen","250.271","2.199","6.146","8.216","202","8.830","217"
"Sachsen-Anhalt","85.175","720","3.881","3.573","163","2.978","136"
"Schleswig-Holstein","56.250","343","1.937","2.059","71","1.489","51"
"Thüringen","110.369","1.081","5.173","4.954","232","3.689","173"
"Gesamt","3.217.710","29.518","3.869","134.007","161","80.893","97"
