"0","1","2","3"
"Fälle kumulativ 
Letzte 7 Tage 
Todesfälle kumulativ 
Differenz 
Fälle/100.000 
Fälle/100.000 
Fälle/100.000 
Fälle 
Fälle 
Fälle 
Bundesland 
Vortag 
Einw. 
Einw. 
Einw.","","",""
"Baden-
Württemberg*","37.272 
0 
337","317 
2,9","1.847 
16,7"
"Bayern","51.080 
12 
391","594 
4,5","2.622 
20,1"
"Berlin","9.319 
45 
249","317 
8,5","223 
5,9"
"Brandenburg","3.565 
0 
142","26 
1,0","168 
6,7"
"Bremen","1.782 
1 
261","35 
5,1","56 
8,2"
"Hamburg","5.405 
0 
294","75 
4,1","261 
14,2"
"Hessen","12.117 
88 
193","414 
6,6","520 
8,3"
"Mecklenburg-
Vorpommern","875 
7 
54","31 
1,9","20 
1,2"
"Niedersachsen","14.515 
16 
182","245 
3,1","653 
8,2"
"Nordrhein-
Westfalen","49.145 
43 
274","1.715 
9,6","1.731 
9,7"
"Rheinland-
Pfalz","7.535 
2 
184","101 
2,5","239 
5,9"
"Saarland","2.879 
5 
291","26 
2,6","174 
17,6"
"Sachsen*","5.541 
0 
136","24 
0,6","225 
5,5"
"Sachsen-
Anhalt","2.030 
8 
92","42 
1,9","64 
2,9"
"Schleswig-
Holstein","3.463 
12 
120","142 
4,9","156 
5,4"
"Thüringen","3.370 
1 
157","23 
1,1","182 
8,5"
"Gesamt","209.893 
240 
253","4.127 
5,0","9.141 
11,0"
