"0","1"
"Cumulative cases  
Last 7 days 
Cumulative deaths",""
"7-day 
Cases/ 
Cases in 
Number of 
Total number 
Number of 
incidence/ 
Number of 
Federal State 
100,000 
the last 
deaths/ 
of cases 
new cases 
100,000 
deaths 
pop. 
7 days 
100,000 pop. 
pop.",""
"Baden-Wuerttemberg","317,043 
483 
2,856 
5,767 
52 
8,074 
72.7"
"Bavaria","437,607 
1,142 
3,334 
8,649 
66 
12,388 
94.4"
"Berlin","129,350 
103 
3,525 
2,481 
68 
2,817 
76.8"
"Brandenburg","76,566 
91 
3,036 
1,625 
64 
2,998 
118.9"
"Bremen","18,046 
49 
2,649 
565 
83 
341 
50.1"
"Hamburg","51,779 
126 
2,803 
1,320 
71 
1,272 
68.9"
"Hesse","188,623 
243 
3,000 
4,116 
65 
5,825 
92.6"
"Mecklenburg- 
Western Pomerania","24,554 
66 
1,527 
1,058 
66 
739 
46.0"
"Lower Saxony","164,864 
427 
2,062 
5,206 
65 
4,298 
53.8"
"North Rhine-Westphalia","533,148 
804 
2,971 
11,565 
64 
13,059 
72.8"
"Rhineland-Palatinate","102,261 
265 
2,498 
2,036 
50 
3,095 
75.6"
"Saarland","28,960 
39 
2,934 
723 
73 
870 
88.2"
"Saxony","194,557 
392 
4,778 
3,433 
84 
7,760 
190.6"
"Saxony-Anhalt","60,719 
247 
2,767 
2,020 
92 
2,421 
110.3"
"Schleswig-Holstein","42,541 
96 
1,465 
1,454 
50 
1,284 
44.2"
"Thuringia","76,450 
159 
3,584 
2,698 
126 
2,864 
134.2"
"Total","2,447,068 
4,732 
2,942 
54,716 
66 
70,105 
84.3"
