"0","1"
"Cumulative cases  
Last 7 days 
Cumulative deaths",""
"7-day 
Number 
Cases/ 
Cases in 
incidence 
Number 
Number of 
Total number of 
Federal State 
of new 
100,000 
the last 
per 
of 
deaths/ 
cases 
cases* 
pop. 
7 days 
100,000 
deaths 
100,000 pop. 
pop.",""
"Baden-Wuerttemberg","244,930 
1,016 
2,206 
14,301 
129 
4,947 
44.6"
"Bavaria","334,567 
1,948 
2,549 
20,858 
159 
6,925 
52.8"
"Berlin","98,754 
657 
2,691 
4,618 
126 
1,305 
35.6"
"Brandenburg","42,887 
174 
1,701 
4,295 
170 
1,008 
40.0"
"Bremen","13,747 
34 
2,018 
552 
81 
204 
29.9"
"Hamburg**","37,535 
0 
2,032 
2,027 
110 
661 
35.8"
"Hesse","140,371 
406 
2,232 
8,397 
134 
2,991 
47.6"
"Mecklenburg- 
Western Pomerania","12,562 
108 
781 
1,472 
92 
179 
11.1"
"Lower Saxony","110,777 
506 
1,386 
7,282 
91 
2,041 
25.5"
"North Rhine-Westphalia","402,519 
1,925 
2,243 
21,620 
120 
6,820 
38.0"
"Rhineland-Palatinate","74,435 
520 
1,818 
4,825 
118 
1,476 
36.1"
"Saarland","20,199 
58 
2,047 
855 
87 
445 
45.1"
"Saxony","139,700 
1,368 
3,431 
13,153 
323 
3,378 
83.0"
"Saxony-Anhalt","32,083 
586 
1,462 
4,003 
182 
694 
31.6"
"Schleswig-Holstein","25,751 
211 
887 
2,272 
78 
446 
15.4"
"Thuringia","44,696 
330 
2,095 
5,364 
251 
1,054 
49.4"
"Total","1,775,513 
9,847 
2,135 
115,894 
139 
34,574 
41.6"
