"0","1","2","3"
"7-day 
Total 
Number 
Cases in 
Number of 
Cases/ 
incidence 
Number 
Federal State 
number 
of new 
the last 
deaths/ 
100,000 pop. 
per 100,000 
of deaths 
of cases 
cases 
7 days 
100,000 pop. 
pop.","","",""
"Baden-Wuerttemberg","39,829 
336 
360","1,261 
11.4","1,862 
16.8"
"Bavaria","54,817 
401 
419","1,864 
14.3","2,633 
20.1"
"Berlin","10,655 
112 
284","420 
11.2","226 
6.0"
"Brandenburg","3,784 
26 
151","85 
3.4","169 
6.7"
"Bremen","1,893 
8 
277","58 
8.5","56 
8.2"
"Hamburg","6,019 
30 
327","122 
6.6","265 
14.4"
"Hesse","14,409 
149 
230","972 
15.5","528 
8.4"
"Mecklenburg-Western  
Pomerania","989 
5 
61","19 
1.2","20 
1.2"
"Lower Saxony","16,019 
134 
201","595 
7.5","659 
8.3"
"North Rhine-
Westphalia","56,599 
663 
316","2,293 
12.8","1,797 
10.0"
"Rhineland-Palatinate","8,602 
88 
211","464 
11.4","242 
5.9"
"Saarland","3,055 
15 
308","61 
6.2","174 
17.6"
"Saxony","5,806 
18 
142","69 
1.7","225 
5.5"
"Saxony-Anhalt","2,170 
15 
98","53 
2.4","65 
2.9"
"Schleswig-Holstein","3,890 
18 
134","114 
3.9","160 
5.5"
"Thuringia","3,546 
16 
165","48 
2.2","186 
8.7"
"232,082 
2,034 
279 
8,498 
10.2 
9,267 
11.1 
Total","","",""
