"0","1","2","3","4","5","6","7"
"Fälle kumulativ 
Letzte 7 Tage 
Todesfälle kumulativ","","","","","","",""
"Fälle/ 
Fälle/ 
Fälle/ 
Differenz 
Bundesland 
Fälle 
100.000 
Fälle 
100.000 
Fälle 
100.000 
Vortag 
EW 
EW 
EW","","","","","","",""
"Baden-Württemberg","484.507","1.451","4.365","8.898","80","9.811","88"
"Bayern","631.921","1.412","4.815","8.785","67","14.740","112"
"Berlin","176.753","256","4.817","2.217","60","3.422","93"
"Brandenburg","107.425","191","4.260","1.237","49","3.693","146"
"Bremen","26.778","62","3.931","397","58","471","69"
"Hamburg","75.479","145","4.086","653","35","1.541","83"
"Hessen","282.450","653","4.492","4.729","75","7.189","114"
"Mecklenburg-
Vorpommern","43.433","103","2.701","680","42","1.103","69"
"Niedersachsen","254.959","708","3.190","3.768","47","5.548","69"
"Nordrhein-Westfalen","794.195","1.932","4.425","13.297","74","16.446","92"
"Rheinland-Pfalz","150.619","422","3.679","2.579","63","3.678","90"
"Saarland","40.148","131","4.068","730","74","991","100"
"Sachsen","280.911","649","6.899","3.527","87","9.518","234"
"Sachsen-Anhalt","97.363","236","4.436","1.341","61","3.270","149"
"Schleswig-Holstein","62.237","115","2.143","880","30","1.573","54"
"Thüringen","125.984","303","5.905","2.269","106","4.134","194"
"Gesamt","3.635.162","8.769","4.371","55.987","67","87.128","105"
