"0","1","2","3","4","5","6","7"
"Fälle kumulativ 
Letzte 7 Tage 
Todesfälle kumulativ","","","","","","",""
"Fälle/ 
Fälle/ 
Fälle/ 
Differenz 
100.000 
100.000 
100.000 
Bundesland 
Fälle 
Fälle 
Fälle 
Vortag 
EW 
EW 
EW","","","","","","",""
"Baden-Württemberg","392.632","3.244","3.537","17.854","161","8.981","80,9"
"Bayern","536.815","4.083","4.090","22.656","173","13.606","103,7"
"Berlin","154.668","677","4.215","4.450","121","3.127","85,2"
"Brandenburg","94.098","575","3.731","3.621","144","3.414","135,4"
"Bremen","22.653","171","3.325","1.084","159","427","62,7"
"Hamburg","66.184","269","3.583","2.338","127","1.421","76,9"
"Hessen","236.594","2.075","3.763","10.184","162","6.543","104,1"
"Mecklenburg-
Vorpommern","34.521","501","2.147","2.441","152","916","57,0"
"Niedersachsen","213.396","1.220","2.670","8.877","111","5.071","63,4"
"Nordrhein-Westfalen","657.437","4.693","3.663","26.636","148","14.721","82,0"
"Rheinland-Pfalz","125.400","659","3.063","5.096","124","3.414","83,4"
"Saarland","33.800","172","3.425","1.230","125","939","95,1"
"Sachsen","238.027","1.531","5.845","9.275","228","8.612","211,5"
"Sachsen-Anhalt","80.085","544","3.649","4.009","183","2.873","130,9"
"Schleswig-Holstein","53.735","403","1.851","2.255","78","1.469","50,6"
"Thüringen","103.971","876","4.874","5.418","254","3.554","166,6"
"Gesamt","3.044.016","21.693","3.660","127.424","153","79.088","95,1"
