"0","1","2"
"Age group","","week 12 - 20, 
week 21 - 39, 
week 40 - 52,  
week 53  
2020 
2020 
2020 
2020"
"0 to 14 years","SARI cases (total)","322 
869 
470 
11"
"","Proportion of COVID-19 (%)","0.3% 
0.2% 
3.0% 
9.1%"
"15 to 34 years","SARI cases (total)","178 
189 
298 
17"
"","Proportion of COVID-19 (%)","19% 
13% 
54% 
88%"
"35 to 59 years","SARI cases (total)","534 
511 
1,097 
76"
"","Proportion of COVID-19 (%)","31% 
13% 
67% 
80%"
"60 years and older","SARI cases (total)","1,689 
2,074 
3,174 
346"
"","Proportion of COVID-19 (%)","19% 
2.5% 
55% 
70%"
"Overall","SARI cases (total)","2,723 
3,643 
5,039 
450"
"","Proportion of COVID-19 (%)","19% 
4.0% 
53% 
71%"
