"0","1"
"Todesfälle 
 
Fälle kumulativ 
Letzte 7 Tage 
kumulativ",""
"Differenz 
Fälle/100.000 
Fälle/100.000 
Fälle/100.000 
Fälle 
Fälle 
Fälle 
Bundesland 
Vortag 
Einw. 
Einw. 
Einw.",""
"Baden-Württemberg","4.284 
1.859 
22.099 
199 
3.892 
35,1 
206.397"
"Bayern","283.289 
5.283 
2.158 
28.077 
214 
5.566 
42,4"
"Berlin","85.244 
1.547 
2.323 
6.774 
185 
985 
26,8"
"Brandenburg","31.224 
1.132 
1.238 
4.280 
170 
635 
25,2"
"Bremen","12.367 
135 
1.815 
884 
130 
167 
24,5"
"Hamburg","31.591 
547 
1.710 
2.478 
134 
528 
28,6"
"Hessen","118.697 
3.224 
1.888 
12.311 
196 
2.085 
33,2"
"Mecklenburg-
Vorpommern","9.448 
221 
588 
1.543 
96 
114 
7,1"
"Niedersachsen","92.773 
1.585 
1.161 
8.128 
102 
1.605 
20,1"
"Nordrhein-Westfalen","345.186 
6.010 
1.923 
32.522 
181 
5.177 
28,8"
"Rheinland-Pfalz","62.002 
1.241 
1.514 
6.691 
163 
1.041 
25,4"
"Saarland","17.358 
244 
1.759 
1.719 
174 
349 
35,4"
"Sachsen","102.193 
3.316 
2.510 
17.600 
432 
2.132 
52,4"
"Sachsen-Anhalt","21.867 
1.012 
996 
3.784 
172 
376 
17,1"
"Schleswig-Holstein","20.259 
453 
698 
2.724 
94 
322 
11,1"
"Thüringen","31.343 
1.066 
1.469 
6.082 
285 
666 
31,2"
"Gesamt","1.471.238 
31.300 
1.769 
157.696 
190 
25.640 
30,8"
